#separator:Semicolon
#html:false
"Indicativo
Presente

yo [abandonar]";"yo abandono"
"Indicativo
Presente

vosotras [explotar]";"vosotras explotáis"
"Indicativo
Presente

ellos [explotar]";"ellos explotan"
"Indicativo
Presente

ellas [explotar]";"ellas explotan"
"Indicativo
Presente

Ustedes [explotar]";"Ustedes explotan"
"Indicativo
Presente

yo [exportar]";"yo exporto"
"Indicativo
Presente

tú [exportar]";"tú exportas"
"Indicativo
Presente

él [exportar]";"él exporta"
"Indicativo
Presente

ella [exportar]";"ella exporta"
"Indicativo
Presente

Usted [exportar]";"Usted exporta"
"Indicativo
Presente

nosotros [exportar]";"nosotros exportamos"
"Indicativo
Presente

nosotras [exportar]";"nosotras exportamos"
"Indicativo
Presente

vosotros [exportar]";"vosotros exportáis"
"Indicativo
Presente

vosotras [exportar]";"vosotras exportáis"
"Indicativo
Presente

ellos [exportar]";"ellos exportan"
"Indicativo
Presente

ellas [exportar]";"ellas exportan"
"Indicativo
Presente

Ustedes [exportar]";"Ustedes exportan"
"Indicativo
Presente

yo [expresar]";"yo expreso"
"Indicativo
Presente

tú [expresar]";"tú expresas"
"Indicativo
Presente

él [expresar]";"él expresa"
"Indicativo
Presente

ella [expresar]";"ella expresa"
"Indicativo
Presente

Usted [expresar]";"Usted expresa"
"Indicativo
Presente

nosotros [expresar]";"nosotros expresamos"
"Indicativo
Presente

nosotras [expresar]";"nosotras expresamos"
"Indicativo
Presente

vosotros [expresar]";"vosotros expresáis"
"Indicativo
Presente

vosotras [expresar]";"vosotras expresáis"
"Indicativo
Presente

ellos [expresar]";"ellos expresan"
"Indicativo
Presente

ellas [expresar]";"ellas expresan"
"Indicativo
Presente

Ustedes [expresar]";"Ustedes expresan"
"Indicativo
Presente

yo [fabricar]";"yo fabrico"
"Indicativo
Presente

tú [fabricar]";"tú fabricas"
"Indicativo
Presente

él [fabricar]";"él fabrica"
"Indicativo
Presente

ella [fabricar]";"ella fabrica"
"Indicativo
Presente

Usted [fabricar]";"Usted fabrica"
"Indicativo
Presente

nosotros [fabricar]";"nosotros fabricamos"
"Indicativo
Presente

nosotras [fabricar]";"nosotras fabricamos"
"Indicativo
Presente

vosotros [fabricar]";"vosotros fabricáis"
"Indicativo
Presente

vosotras [fabricar]";"vosotras fabricáis"
"Indicativo
Presente

ellos [fabricar]";"ellos fabrican"
"Indicativo
Presente

ellas [fabricar]";"ellas fabrican"
"Indicativo
Presente

Ustedes [fabricar]";"Ustedes fabrican"
"Indicativo
Presente

yo [faltar]";"yo falto"
"Indicativo
Presente

tú [faltar]";"tú faltas"
"Indicativo
Presente

él [faltar]";"él falta"
"Indicativo
Presente

ella [faltar]";"ella falta"
"Indicativo
Presente

Usted [faltar]";"Usted falta"
"Indicativo
Presente

nosotros [faltar]";"nosotros faltamos"
"Indicativo
Presente

nosotras [faltar]";"nosotras faltamos"
"Indicativo
Presente

vosotros [faltar]";"vosotros faltáis"
"Indicativo
Presente

vosotras [faltar]";"vosotras faltáis"
"Indicativo
Presente

ellos [faltar]";"ellos faltan"
"Indicativo
Presente

ellas [faltar]";"ellas faltan"
"Indicativo
Presente

Ustedes [faltar]";"Ustedes faltan"
"Indicativo
Presente

yo [fascinar]";"yo fascino"
"Indicativo
Presente

tú [fascinar]";"tú fascinas"
"Indicativo
Presente

él [fascinar]";"él fascina"
"Indicativo
Presente

ella [fascinar]";"ella fascina"
"Indicativo
Presente

Usted [fascinar]";"Usted fascina"
"Indicativo
Presente

nosotros [fascinar]";"nosotros fascinamos"
"Indicativo
Presente

nosotras [fascinar]";"nosotras fascinamos"
"Indicativo
Presente

vosotros [fascinar]";"vosotros fascináis"
"Indicativo
Presente

vosotras [fascinar]";"vosotras fascináis"
"Indicativo
Presente

ellos [fascinar]";"ellos fascinan"
"Indicativo
Presente

ellas [fascinar]";"ellas fascinan"
"Indicativo
Presente

Ustedes [fascinar]";"Ustedes fascinan"
"Indicativo
Presente

yo [felicitar]";"yo felicito"
"Indicativo
Presente

tú [felicitar]";"tú felicitas"
"Indicativo
Presente

él [felicitar]";"él felicita"
"Indicativo
Presente

ella [felicitar]";"ella felicita"
"Indicativo
Presente

Usted [felicitar]";"Usted felicita"
"Indicativo
Presente

nosotros [felicitar]";"nosotros felicitamos"
"Indicativo
Presente

nosotras [felicitar]";"nosotras felicitamos"
"Indicativo
Presente

vosotros [felicitar]";"vosotros felicitáis"
"Indicativo
Presente

vosotras [felicitar]";"vosotras felicitáis"
"Indicativo
Presente

ellos [felicitar]";"ellos felicitan"
"Indicativo
Presente

ellas [felicitar]";"ellas felicitan"
"Indicativo
Presente

Ustedes [felicitar]";"Ustedes felicitan"
"Indicativo
Presente

yo [firmar]";"yo firmo"
"Indicativo
Presente

tú [firmar]";"tú firmas"
"Indicativo
Presente

él [firmar]";"él firma"
"Indicativo
Presente

ella [firmar]";"ella firma"
"Indicativo
Presente

Usted [firmar]";"Usted firma"
"Indicativo
Presente

nosotros [firmar]";"nosotros firmamos"
"Indicativo
Presente

nosotras [firmar]";"nosotras firmamos"
"Indicativo
Presente

vosotros [firmar]";"vosotros firmáis"
"Indicativo
Presente

vosotras [firmar]";"vosotras firmáis"
"Indicativo
Presente

ellos [firmar]";"ellos firman"
"Indicativo
Presente

ellas [firmar]";"ellas firman"
"Indicativo
Presente

Ustedes [firmar]";"Ustedes firman"
"Indicativo
Presente

yo [formar]";"yo formo"
"Indicativo
Presente

tú [formar]";"tú formas"
"Indicativo
Presente

él [formar]";"él forma"
"Indicativo
Presente

ella [formar]";"ella forma"
"Indicativo
Presente

Usted [formar]";"Usted forma"
"Indicativo
Presente

nosotros [formar]";"nosotros formamos"
"Indicativo
Presente

nosotras [formar]";"nosotras formamos"
"Indicativo
Presente

vosotros [formar]";"vosotros formáis"
"Indicativo
Presente

vosotras [formar]";"vosotras formáis"
"Indicativo
Presente

ellos [formar]";"ellos forman"
"Indicativo
Presente

ellas [formar]";"ellas forman"
"Indicativo
Presente

Ustedes [formar]";"Ustedes forman"
"Indicativo
Presente

yo [fumar]";"yo fumo"
"Indicativo
Presente

tú [fumar]";"tú fumas"
"Indicativo
Presente

él [fumar]";"él fuma"
"Indicativo
Presente

ella [fumar]";"ella fuma"
"Indicativo
Presente

Usted [fumar]";"Usted fuma"
"Indicativo
Presente

nosotros [fumar]";"nosotros fumamos"
"Indicativo
Presente

nosotras [fumar]";"nosotras fumamos"
"Indicativo
Presente

vosotros [fumar]";"vosotros fumáis"
"Indicativo
Presente

vosotras [fumar]";"vosotras fumáis"
"Indicativo
Presente

ellos [fumar]";"ellos fuman"
"Indicativo
Presente

ellas [fumar]";"ellas fuman"
"Indicativo
Presente

Ustedes [fumar]";"Ustedes fuman"
"Indicativo
Presente

yo [funcionar]";"yo funciono"
"Indicativo
Presente

tú [funcionar]";"tú funcionas"
"Indicativo
Presente

él [funcionar]";"él funciona"
"Indicativo
Presente

ella [funcionar]";"ella funciona"
"Indicativo
Presente

Usted [funcionar]";"Usted funciona"
"Indicativo
Presente

nosotros [funcionar]";"nosotros funcionamos"
"Indicativo
Presente

nosotras [funcionar]";"nosotras funcionamos"
"Indicativo
Presente

vosotros [funcionar]";"vosotros funcionáis"
"Indicativo
Presente

vosotras [funcionar]";"vosotras funcionáis"
"Indicativo
Presente

ellos [funcionar]";"ellos funcionan"
"Indicativo
Presente

ellas [funcionar]";"ellas funcionan"
"Indicativo
Presente

Ustedes [funcionar]";"Ustedes funcionan"
"Indicativo
Presente

yo [ganar]";"yo gano"
"Indicativo
Presente

tú [ganar]";"tú ganas"
"Indicativo
Presente

él [ganar]";"él gana"
"Indicativo
Presente

ella [ganar]";"ella gana"
"Indicativo
Presente

Usted [ganar]";"Usted gana"
"Indicativo
Presente

nosotros [ganar]";"nosotros ganamos"
"Indicativo
Presente

nosotras [ganar]";"nosotras ganamos"
"Indicativo
Presente

vosotros [ganar]";"vosotros ganáis"
"Indicativo
Presente

vosotras [ganar]";"vosotras ganáis"
"Indicativo
Presente

ellos [ganar]";"ellos ganan"
"Indicativo
Presente

ellas [ganar]";"ellas ganan"
"Indicativo
Presente

Ustedes [ganar]";"Ustedes ganan"
"Indicativo
Presente

yo [gastar]";"yo gasto"
"Indicativo
Presente

tú [gastar]";"tú gastas"
"Indicativo
Presente

él [gastar]";"él gasta"
"Indicativo
Presente

ella [gastar]";"ella gasta"
"Indicativo
Presente

Usted [gastar]";"Usted gasta"
"Indicativo
Presente

nosotros [gastar]";"nosotros gastamos"
"Indicativo
Presente

nosotras [gastar]";"nosotras gastamos"
"Indicativo
Presente

vosotros [gastar]";"vosotros gastáis"
"Indicativo
Presente

vosotras [gastar]";"vosotras gastáis"
"Indicativo
Presente

ellos [gastar]";"ellos gastan"
"Indicativo
Presente

ellas [gastar]";"ellas gastan"
"Indicativo
Presente

Ustedes [gastar]";"Ustedes gastan"
"Indicativo
Presente

yo [generalizar]";"yo generalizo"
"Indicativo
Presente

tú [generalizar]";"tú generalizas"
"Indicativo
Presente

él [generalizar]";"él generaliza"
"Indicativo
Presente

ella [generalizar]";"ella generaliza"
"Indicativo
Presente

Usted [generalizar]";"Usted generaliza"
"Indicativo
Presente

nosotros [generalizar]";"nosotros generalizamos"
"Indicativo
Presente

nosotras [generalizar]";"nosotras generalizamos"
"Indicativo
Presente

vosotros [generalizar]";"vosotros generalizáis"
"Indicativo
Presente

vosotras [generalizar]";"vosotras generalizáis"
"Indicativo
Presente

ellos [generalizar]";"ellos generalizan"
"Indicativo
Presente

ellas [generalizar]";"ellas generalizan"
"Indicativo
Presente

Ustedes [generalizar]";"Ustedes generalizan"
"Indicativo
Presente

yo [glorificar]";"yo glorifico"
"Indicativo
Presente

tú [glorificar]";"tú glorificas"
"Indicativo
Presente

él [glorificar]";"él glorifica"
"Indicativo
Presente

ella [glorificar]";"ella glorifica"
"Indicativo
Presente

Usted [glorificar]";"Usted glorifica"
"Indicativo
Presente

nosotros [glorificar]";"nosotros glorificamos"
"Indicativo
Presente

nosotras [glorificar]";"nosotras glorificamos"
"Indicativo
Presente

vosotros [glorificar]";"vosotros glorificáis"
"Indicativo
Presente

vosotras [glorificar]";"vosotras glorificáis"
"Indicativo
Presente

ellos [glorificar]";"ellos glorifican"
"Indicativo
Presente

ellas [glorificar]";"ellas glorifican"
"Indicativo
Presente

Ustedes [glorificar]";"Ustedes glorifican"
"Indicativo
Presente

yo [gobernar]";"yo gobierno"
"Indicativo
Presente

tú [gobernar]";"tú gobiernas"
"Indicativo
Presente

él [gobernar]";"él gobierna"
"Indicativo
Presente

ella [gobernar]";"ella gobierna"
"Indicativo
Presente

Usted [gobernar]";"Usted gobierna"
"Indicativo
Presente

nosotros [gobernar]";"nosotros gobernamos"
"Indicativo
Presente

nosotras [gobernar]";"nosotras gobernamos"
"Indicativo
Presente

vosotros [gobernar]";"vosotros gobernáis"
"Indicativo
Presente

vosotras [gobernar]";"vosotras gobernáis"
"Indicativo
Presente

ellos [gobernar]";"ellos gobiernan"
"Indicativo
Presente

ellas [gobernar]";"ellas gobiernan"
"Indicativo
Presente

Ustedes [gobernar]";"Ustedes gobiernan"
"Indicativo
Presente

yo [graduar]";"yo gradúo"
"Indicativo
Presente

tú [graduar]";"tú gradúas"
"Indicativo
Presente

él [graduar]";"él gradúa"
"Indicativo
Presente

ella [graduar]";"ella gradúa"
"Indicativo
Presente

Usted [graduar]";"Usted gradúa"
"Indicativo
Presente

nosotros [graduar]";"nosotros graduamos"
"Indicativo
Presente

nosotras [graduar]";"nosotras graduamos"
"Indicativo
Presente

vosotros [graduar]";"vosotros graduáis"
"Indicativo
Presente

vosotras [graduar]";"vosotras graduáis"
"Indicativo
Presente

ellos [graduar]";"ellos gradúan"
"Indicativo
Presente

ellas [graduar]";"ellas gradúan"
"Indicativo
Presente

Ustedes [graduar]";"Ustedes gradúan"
"Indicativo
Presente

yo [gritar]";"yo grito"
"Indicativo
Presente

tú [gritar]";"tú gritas"
"Indicativo
Presente

él [gritar]";"él grita"
"Indicativo
Presente

ella [gritar]";"ella grita"
"Indicativo
Presente

Usted [gritar]";"Usted grita"
"Indicativo
Presente

nosotros [gritar]";"nosotros gritamos"
"Indicativo
Presente

nosotras [gritar]";"nosotras gritamos"
"Indicativo
Presente

vosotros [gritar]";"vosotros gritáis"
"Indicativo
Presente

vosotras [gritar]";"vosotras gritáis"
"Indicativo
Presente

ellos [gritar]";"ellos gritan"
"Indicativo
Presente

ellas [gritar]";"ellas gritan"
"Indicativo
Presente

Ustedes [gritar]";"Ustedes gritan"
"Indicativo
Presente

yo [guardar]";"yo guardo"
"Indicativo
Presente

tú [guardar]";"tú guardas"
"Indicativo
Presente

él [guardar]";"él guarda"
"Indicativo
Presente

ella [guardar]";"ella guarda"
"Indicativo
Presente

Usted [guardar]";"Usted guarda"
"Indicativo
Presente

nosotros [guardar]";"nosotros guardamos"
"Indicativo
Presente

nosotras [guardar]";"nosotras guardamos"
"Indicativo
Presente

vosotros [guardar]";"vosotros guardáis"
"Indicativo
Presente

vosotras [guardar]";"vosotras guardáis"
"Indicativo
Presente

ellos [guardar]";"ellos guardan"
"Indicativo
Presente

ellas [guardar]";"ellas guardan"
"Indicativo
Presente

Ustedes [guardar]";"Ustedes guardan"
"Indicativo
Presente

yo [guiar]";"yo guío"
"Indicativo
Presente

tú [guiar]";"tú guías"
"Indicativo
Presente

él [guiar]";"él guía"
"Indicativo
Presente

ella [guiar]";"ella guía"
"Indicativo
Presente

Usted [guiar]";"Usted guía"
"Indicativo
Presente

nosotros [guiar]";"nosotros guiamos"
"Indicativo
Presente

nosotras [guiar]";"nosotras guiamos"
"Indicativo
Presente

vosotros [guiar]";"vosotros guiáis"
"Indicativo
Presente

vosotras [guiar]";"vosotras guiáis"
"Indicativo
Presente

ellos [guiar]";"ellos guían"
"Indicativo
Presente

ellas [guiar]";"ellas guían"
"Indicativo
Presente

Ustedes [guiar]";"Ustedes guían"
"Indicativo
Presente

yo [gustar]";"yo gusto"
"Indicativo
Presente

tú [gustar]";"tú gustas"
"Indicativo
Presente

él [gustar]";"él gusta"
"Indicativo
Presente

ella [gustar]";"ella gusta"
"Indicativo
Presente

Usted [gustar]";"Usted gusta"
"Indicativo
Presente

nosotros [gustar]";"nosotros gustamos"
"Indicativo
Presente

nosotras [gustar]";"nosotras gustamos"
"Indicativo
Presente

vosotros [gustar]";"vosotros gustáis"
"Indicativo
Presente

vosotras [gustar]";"vosotras gustáis"
"Indicativo
Presente

ellos [gustar]";"ellos gustan"
"Indicativo
Presente

ellas [gustar]";"ellas gustan"
"Indicativo
Presente

Ustedes [gustar]";"Ustedes gustan"
"Indicativo
Presente

yo [hablar]";"yo hablo"
"Indicativo
Presente

tú [hablar]";"tú hablas"
"Indicativo
Presente

él [hablar]";"él habla"
"Indicativo
Presente

ella [hablar]";"ella habla"
"Indicativo
Presente

Usted [hablar]";"Usted habla"
"Indicativo
Presente

nosotros [hablar]";"nosotros hablamos"
"Indicativo
Presente

nosotras [hablar]";"nosotras hablamos"
"Indicativo
Presente

vosotros [hablar]";"vosotros habláis"
"Indicativo
Presente

vosotras [hablar]";"vosotras habláis"
"Indicativo
Presente

ellos [hablar]";"ellos hablan"
"Indicativo
Presente

ellas [hablar]";"ellas hablan"
"Indicativo
Presente

Ustedes [hablar]";"Ustedes hablan"
"Indicativo
Presente

yo [hallar]";"yo hallo"
"Indicativo
Presente

tú [hallar]";"tú hallas"
"Indicativo
Presente

él [hallar]";"él halla"
"Indicativo
Presente

ella [hallar]";"ella halla"
"Indicativo
Presente

Usted [hallar]";"Usted halla"
"Indicativo
Presente

nosotros [hallar]";"nosotros hallamos"
"Indicativo
Presente

nosotras [hallar]";"nosotras hallamos"
"Indicativo
Presente

vosotros [hallar]";"vosotros halláis"
"Indicativo
Presente

vosotras [hallar]";"vosotras halláis"
"Indicativo
Presente

ellos [hallar]";"ellos hallan"
"Indicativo
Presente

ellas [hallar]";"ellas hallan"
"Indicativo
Presente

Ustedes [hallar]";"Ustedes hallan"
"Indicativo
Presente

yo [helar]";"yo hielo"
"Indicativo
Presente

tú [helar]";"tú hielas"
"Indicativo
Presente

él [helar]";"él hiela"
"Indicativo
Presente

ella [helar]";"ella hiela"
"Indicativo
Presente

Usted [helar]";"Usted hiela"
"Indicativo
Presente

nosotros [helar]";"nosotros helamos"
"Indicativo
Presente

nosotras [helar]";"nosotras helamos"
"Indicativo
Presente

vosotros [helar]";"vosotros heláis"
"Indicativo
Presente

vosotras [helar]";"vosotras heláis"
"Indicativo
Presente

ellos [helar]";"ellos hielan"
"Indicativo
Presente

ellas [helar]";"ellas hielan"
"Indicativo
Presente

Ustedes [helar]";"Ustedes hielan"
"Indicativo
Presente

yo [heredar]";"yo heredo"
"Indicativo
Presente

tú [heredar]";"tú heredas"
"Indicativo
Presente

él [heredar]";"él hereda"
"Indicativo
Presente

ella [heredar]";"ella hereda"
"Indicativo
Presente

Usted [heredar]";"Usted hereda"
"Indicativo
Presente

nosotros [heredar]";"nosotros heredamos"
"Indicativo
Presente

nosotras [heredar]";"nosotras heredamos"
"Indicativo
Presente

vosotros [heredar]";"vosotros heredáis"
"Indicativo
Presente

vosotras [heredar]";"vosotras heredáis"
"Indicativo
Presente

ellos [heredar]";"ellos heredan"
"Indicativo
Presente

ellas [heredar]";"ellas heredan"
"Indicativo
Presente

Ustedes [heredar]";"Ustedes heredan"
"Indicativo
Presente

yo [ilustrar]";"yo ilustro"
"Indicativo
Presente

tú [ilustrar]";"tú ilustras"
"Indicativo
Presente

él [ilustrar]";"él ilustra"
"Indicativo
Presente

ella [ilustrar]";"ella ilustra"
"Indicativo
Presente

Usted [ilustrar]";"Usted ilustra"
"Indicativo
Presente

nosotros [ilustrar]";"nosotros ilustramos"
"Indicativo
Presente

nosotras [ilustrar]";"nosotras ilustramos"
"Indicativo
Presente

vosotros [ilustrar]";"vosotros ilustráis"
"Indicativo
Presente

vosotras [ilustrar]";"vosotras ilustráis"
"Indicativo
Presente

ellos [ilustrar]";"ellos ilustran"
"Indicativo
Presente

ellas [ilustrar]";"ellas ilustran"
"Indicativo
Presente

Ustedes [ilustrar]";"Ustedes ilustran"
"Indicativo
Presente

yo [importar]";"yo importo"
"Indicativo
Presente

tú [importar]";"tú importas"
"Indicativo
Presente

él [importar]";"él importa"
"Indicativo
Presente

ella [importar]";"ella importa"
"Indicativo
Presente

Usted [importar]";"Usted importa"
"Indicativo
Presente

nosotros [importar]";"nosotros importamos"
"Indicativo
Presente

nosotras [importar]";"nosotras importamos"
"Indicativo
Presente

vosotros [importar]";"vosotros importáis"
"Indicativo
Presente

vosotras [importar]";"vosotras importáis"
"Indicativo
Presente

ellos [importar]";"ellos importan"
"Indicativo
Presente

ellas [importar]";"ellas importan"
"Indicativo
Presente

Ustedes [importar]";"Ustedes importan"
"Indicativo
Presente

yo [indicar]";"yo indico"
"Indicativo
Presente

tú [indicar]";"tú indicas"
"Indicativo
Presente

él [indicar]";"él indica"
"Indicativo
Presente

ella [indicar]";"ella indica"
"Indicativo
Presente

Usted [indicar]";"Usted indica"
"Indicativo
Presente

nosotros [indicar]";"nosotros indicamos"
"Indicativo
Presente

nosotras [indicar]";"nosotras indicamos"
"Indicativo
Presente

vosotros [indicar]";"vosotros indicáis"
"Indicativo
Presente

vosotras [indicar]";"vosotras indicáis"
"Indicativo
Presente

ellos [indicar]";"ellos indican"
"Indicativo
Presente

ellas [indicar]";"ellas indican"
"Indicativo
Presente

Ustedes [indicar]";"Ustedes indican"
"Indicativo
Presente

yo [informar]";"yo informo"
"Indicativo
Presente

tú [informar]";"tú informas"
"Indicativo
Presente

él [informar]";"él informa"
"Indicativo
Presente

ella [informar]";"ella informa"
"Indicativo
Presente

Usted [informar]";"Usted informa"
"Indicativo
Presente

nosotros [informar]";"nosotros informamos"
"Indicativo
Presente

nosotras [informar]";"nosotras informamos"
"Indicativo
Presente

vosotros [informar]";"vosotros informáis"
"Indicativo
Presente

vosotras [informar]";"vosotras informáis"
"Indicativo
Presente

ellos [informar]";"ellos informan"
"Indicativo
Presente

ellas [informar]";"ellas informan"
"Indicativo
Presente

Ustedes [informar]";"Ustedes informan"
"Indicativo
Presente

yo [iniciar]";"yo inicio"
"Indicativo
Presente

tú [iniciar]";"tú inicias"
"Indicativo
Presente

él [iniciar]";"él inicia"
"Indicativo
Presente

ella [iniciar]";"ella inicia"
"Indicativo
Presente

Usted [iniciar]";"Usted inicia"
"Indicativo
Presente

nosotros [iniciar]";"nosotros iniciamos"
"Indicativo
Presente

nosotras [iniciar]";"nosotras iniciamos"
"Indicativo
Presente

vosotros [iniciar]";"vosotros iniciáis"
"Indicativo
Presente

vosotras [iniciar]";"vosotras iniciáis"
"Indicativo
Presente

ellos [iniciar]";"ellos inician"
"Indicativo
Presente

ellas [iniciar]";"ellas inician"
"Indicativo
Presente

Ustedes [iniciar]";"Ustedes inician"
"Indicativo
Presente

yo [inmigrar]";"yo inmigro"
"Indicativo
Presente

tú [inmigrar]";"tú inmigras"
"Indicativo
Presente

él [inmigrar]";"él inmigra"
"Indicativo
Presente

ella [inmigrar]";"ella inmigra"
"Indicativo
Presente

Usted [inmigrar]";"Usted inmigra"
"Indicativo
Presente

nosotros [inmigrar]";"nosotros inmigramos"
"Indicativo
Presente

nosotras [inmigrar]";"nosotras inmigramos"
"Indicativo
Presente

vosotros [inmigrar]";"vosotros inmigráis"
"Indicativo
Presente

vosotras [inmigrar]";"vosotras inmigráis"
"Indicativo
Presente

ellos [inmigrar]";"ellos inmigran"
"Indicativo
Presente

ellas [inmigrar]";"ellas inmigran"
"Indicativo
Presente

Ustedes [inmigrar]";"Ustedes inmigran"
"Indicativo
Presente

yo [instalar]";"yo instalo"
"Indicativo
Presente

tú [instalar]";"tú instalas"
"Indicativo
Presente

él [instalar]";"él instala"
"Indicativo
Presente

ella [instalar]";"ella instala"
"Indicativo
Presente

Usted [instalar]";"Usted instala"
"Indicativo
Presente

nosotros [instalar]";"nosotros instalamos"
"Indicativo
Presente

nosotras [instalar]";"nosotras instalamos"
"Indicativo
Presente

vosotros [instalar]";"vosotros instaláis"
"Indicativo
Presente

vosotras [instalar]";"vosotras instaláis"
"Indicativo
Presente

ellos [instalar]";"ellos instalan"
"Indicativo
Presente

ellas [instalar]";"ellas instalan"
"Indicativo
Presente

Ustedes [instalar]";"Ustedes instalan"
"Indicativo
Presente

yo [insultar]";"yo insulto"
"Indicativo
Presente

tú [insultar]";"tú insultas"
"Indicativo
Presente

él [insultar]";"él insulta"
"Indicativo
Presente

ella [insultar]";"ella insulta"
"Indicativo
Presente

Usted [insultar]";"Usted insulta"
"Indicativo
Presente

nosotros [insultar]";"nosotros insultamos"
"Indicativo
Presente

nosotras [insultar]";"nosotras insultamos"
"Indicativo
Presente

vosotros [insultar]";"vosotros insultáis"
"Indicativo
Presente

vosotras [insultar]";"vosotras insultáis"
"Indicativo
Presente

ellos [insultar]";"ellos insultan"
"Indicativo
Presente

ellas [insultar]";"ellas insultan"
"Indicativo
Presente

Ustedes [insultar]";"Ustedes insultan"
"Indicativo
Presente

yo [intentar]";"yo intento"
"Indicativo
Presente

tú [intentar]";"tú intentas"
"Indicativo
Presente

él [intentar]";"él intenta"
"Indicativo
Presente

ella [intentar]";"ella intenta"
"Indicativo
Presente

Usted [intentar]";"Usted intenta"
"Indicativo
Presente

nosotros [intentar]";"nosotros intentamos"
"Indicativo
Presente

nosotras [intentar]";"nosotras intentamos"
"Indicativo
Presente

vosotros [intentar]";"vosotros intentáis"
"Indicativo
Presente

vosotras [intentar]";"vosotras intentáis"
"Indicativo
Presente

ellos [intentar]";"ellos intentan"
"Indicativo
Presente

ellas [intentar]";"ellas intentan"
"Indicativo
Presente

Ustedes [intentar]";"Ustedes intentan"
"Indicativo
Presente

yo [interesar]";"yo intereso"
"Indicativo
Presente

tú [interesar]";"tú interesas"
"Indicativo
Presente

él [interesar]";"él interesa"
"Indicativo
Presente

ella [interesar]";"ella interesa"
"Indicativo
Presente

Usted [interesar]";"Usted interesa"
"Indicativo
Presente

nosotros [interesar]";"nosotros interesamos"
"Indicativo
Presente

nosotras [interesar]";"nosotras interesamos"
"Indicativo
Presente

vosotros [interesar]";"vosotros interesáis"
"Indicativo
Presente

vosotras [interesar]";"vosotras interesáis"
"Indicativo
Presente

ellos [interesar]";"ellos interesan"
"Indicativo
Presente

ellas [interesar]";"ellas interesan"
"Indicativo
Presente

Ustedes [interesar]";"Ustedes interesan"
"Indicativo
Presente

yo [interpretar]";"yo interpreto"
"Indicativo
Presente

tú [interpretar]";"tú interpretas"
"Indicativo
Presente

él [interpretar]";"él interpreta"
"Indicativo
Presente

ella [interpretar]";"ella interpreta"
"Indicativo
Presente

Usted [interpretar]";"Usted interpreta"
"Indicativo
Presente

nosotros [interpretar]";"nosotros interpretamos"
"Indicativo
Presente

nosotras [interpretar]";"nosotras interpretamos"
"Indicativo
Presente

vosotros [interpretar]";"vosotros interpretáis"
"Indicativo
Presente

vosotras [interpretar]";"vosotras interpretáis"
"Indicativo
Presente

ellos [interpretar]";"ellos interpretan"
"Indicativo
Presente

ellas [interpretar]";"ellas interpretan"
"Indicativo
Presente

Ustedes [interpretar]";"Ustedes interpretan"
"Indicativo
Presente

yo [inventar]";"yo invento"
"Indicativo
Presente

tú [inventar]";"tú inventas"
"Indicativo
Presente

él [inventar]";"él inventa"
"Indicativo
Presente

ella [inventar]";"ella inventa"
"Indicativo
Presente

Usted [inventar]";"Usted inventa"
"Indicativo
Presente

nosotros [inventar]";"nosotros inventamos"
"Indicativo
Presente

nosotras [inventar]";"nosotras inventamos"
"Indicativo
Presente

vosotros [inventar]";"vosotros inventáis"
"Indicativo
Presente

vosotras [inventar]";"vosotras inventáis"
"Indicativo
Presente

ellos [inventar]";"ellos inventan"
"Indicativo
Presente

ellas [inventar]";"ellas inventan"
"Indicativo
Presente

Ustedes [inventar]";"Ustedes inventan"
"Indicativo
Presente

yo [investigar]";"yo investigo"
"Indicativo
Presente

tú [investigar]";"tú investigas"
"Indicativo
Presente

él [investigar]";"él investiga"
"Indicativo
Presente

ella [investigar]";"ella investiga"
"Indicativo
Presente

Usted [investigar]";"Usted investiga"
"Indicativo
Presente

nosotros [investigar]";"nosotros investigamos"
"Indicativo
Presente

nosotras [investigar]";"nosotras investigamos"
"Indicativo
Presente

vosotros [investigar]";"vosotros investigáis"
"Indicativo
Presente

vosotras [investigar]";"vosotras investigáis"
"Indicativo
Presente

ellos [investigar]";"ellos investigan"
"Indicativo
Presente

ellas [investigar]";"ellas investigan"
"Indicativo
Presente

Ustedes [investigar]";"Ustedes investigan"
"Indicativo
Presente

yo [invitar]";"yo invito"
"Indicativo
Presente

tú [invitar]";"tú invitas"
"Indicativo
Presente

él [invitar]";"él invita"
"Indicativo
Presente

ella [invitar]";"ella invita"
"Indicativo
Presente

Usted [invitar]";"Usted invita"
"Indicativo
Presente

nosotros [invitar]";"nosotros invitamos"
"Indicativo
Presente

nosotras [invitar]";"nosotras invitamos"
"Indicativo
Presente

vosotros [invitar]";"vosotros invitáis"
"Indicativo
Presente

vosotras [invitar]";"vosotras invitáis"
"Indicativo
Presente

ellos [invitar]";"ellos invitan"
"Indicativo
Presente

ellas [invitar]";"ellas invitan"
"Indicativo
Presente

Ustedes [invitar]";"Ustedes invitan"
"Indicativo
Presente

yo [invocar]";"yo invoco"
"Indicativo
Presente

tú [invocar]";"tú invocas"
"Indicativo
Presente

él [invocar]";"él invoca"
"Indicativo
Presente

ella [invocar]";"ella invoca"
"Indicativo
Presente

Usted [invocar]";"Usted invoca"
"Indicativo
Presente

nosotros [invocar]";"nosotros invocamos"
"Indicativo
Presente

nosotras [invocar]";"nosotras invocamos"
"Indicativo
Presente

vosotros [invocar]";"vosotros invocáis"
