#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abandonar]";"yo abandoné"
"Indicativo
Pretérito

Usted [entrevistar]";"Usted entrevistó"
"Indicativo
Pretérito

nosotros [entrevistar]";"nosotros entrevistamos"
"Indicativo
Pretérito

nosotras [entrevistar]";"nosotras entrevistamos"
"Indicativo
Pretérito

vosotros [entrevistar]";"vosotros entrevistasteis"
"Indicativo
Pretérito

vosotras [entrevistar]";"vosotras entrevistasteis"
"Indicativo
Pretérito

ellos [entrevistar]";"ellos entrevistaron"
"Indicativo
Pretérito

ellas [entrevistar]";"ellas entrevistaron"
"Indicativo
Pretérito

Ustedes [entrevistar]";"Ustedes entrevistaron"
"Indicativo
Pretérito

yo [entusiasmar]";"yo entusiasmé"
"Indicativo
Pretérito

tú [entusiasmar]";"tú entusiasmaste"
"Indicativo
Pretérito

él [entusiasmar]";"él entusiasmó"
"Indicativo
Pretérito

ella [entusiasmar]";"ella entusiasmó"
"Indicativo
Pretérito

Usted [entusiasmar]";"Usted entusiasmó"
"Indicativo
Pretérito

nosotros [entusiasmar]";"nosotros entusiasmamos"
"Indicativo
Pretérito

nosotras [entusiasmar]";"nosotras entusiasmamos"
"Indicativo
Pretérito

vosotros [entusiasmar]";"vosotros entusiasmasteis"
"Indicativo
Pretérito

vosotras [entusiasmar]";"vosotras entusiasmasteis"
"Indicativo
Pretérito

ellos [entusiasmar]";"ellos entusiasmaron"
"Indicativo
Pretérito

ellas [entusiasmar]";"ellas entusiasmaron"
"Indicativo
Pretérito

Ustedes [entusiasmar]";"Ustedes entusiasmaron"
"Indicativo
Pretérito

yo [enviar]";"yo envié"
"Indicativo
Pretérito

tú [enviar]";"tú enviaste"
"Indicativo
Pretérito

él [enviar]";"él envió"
"Indicativo
Pretérito

ella [enviar]";"ella envió"
"Indicativo
Pretérito

Usted [enviar]";"Usted envió"
"Indicativo
Pretérito

nosotros [enviar]";"nosotros enviamos"
"Indicativo
Pretérito

nosotras [enviar]";"nosotras enviamos"
"Indicativo
Pretérito

vosotros [enviar]";"vosotros enviasteis"
"Indicativo
Pretérito

vosotras [enviar]";"vosotras enviasteis"
"Indicativo
Pretérito

ellos [enviar]";"ellos enviaron"
"Indicativo
Pretérito

ellas [enviar]";"ellas enviaron"
"Indicativo
Pretérito

Ustedes [enviar]";"Ustedes enviaron"
"Indicativo
Pretérito

yo [equivocar]";"yo equivoqué"
"Indicativo
Pretérito

tú [equivocar]";"tú equivocaste"
"Indicativo
Pretérito

él [equivocar]";"él equivocó"
"Indicativo
Pretérito

ella [equivocar]";"ella equivocó"
"Indicativo
Pretérito

Usted [equivocar]";"Usted equivocó"
"Indicativo
Pretérito

nosotros [equivocar]";"nosotros equivocamos"
"Indicativo
Pretérito

nosotras [equivocar]";"nosotras equivocamos"
"Indicativo
Pretérito

vosotros [equivocar]";"vosotros equivocasteis"
"Indicativo
Pretérito

vosotras [equivocar]";"vosotras equivocasteis"
"Indicativo
Pretérito

ellos [equivocar]";"ellos equivocaron"
"Indicativo
Pretérito

ellas [equivocar]";"ellas equivocaron"
"Indicativo
Pretérito

Ustedes [equivocar]";"Ustedes equivocaron"
"Indicativo
Pretérito

yo [errar]";"yo erré"
"Indicativo
Pretérito

tú [errar]";"tú erraste"
"Indicativo
Pretérito

él [errar]";"él erró"
"Indicativo
Pretérito

ella [errar]";"ella erró"
"Indicativo
Pretérito

Usted [errar]";"Usted erró"
"Indicativo
Pretérito

nosotros [errar]";"nosotros erramos"
"Indicativo
Pretérito

nosotras [errar]";"nosotras erramos"
"Indicativo
Pretérito

vosotros [errar]";"vosotros errasteis"
"Indicativo
Pretérito

vosotras [errar]";"vosotras errasteis"
"Indicativo
Pretérito

ellos [errar]";"ellos erraron"
"Indicativo
Pretérito

ellas [errar]";"ellas erraron"
"Indicativo
Pretérito

Ustedes [errar]";"Ustedes erraron"
"Indicativo
Pretérito

yo [escuchar]";"yo escuché"
"Indicativo
Pretérito

tú [escuchar]";"tú escuchaste"
"Indicativo
Pretérito

él [escuchar]";"él escuchó"
"Indicativo
Pretérito

ella [escuchar]";"ella escuchó"
"Indicativo
Pretérito

Usted [escuchar]";"Usted escuchó"
"Indicativo
Pretérito

nosotros [escuchar]";"nosotros escuchamos"
"Indicativo
Pretérito

nosotras [escuchar]";"nosotras escuchamos"
"Indicativo
Pretérito

vosotros [escuchar]";"vosotros escuchasteis"
"Indicativo
Pretérito

vosotras [escuchar]";"vosotras escuchasteis"
"Indicativo
Pretérito

ellos [escuchar]";"ellos escucharon"
"Indicativo
Pretérito

ellas [escuchar]";"ellas escucharon"
"Indicativo
Pretérito

Ustedes [escuchar]";"Ustedes escucharon"
"Indicativo
Pretérito

yo [esquiar]";"yo esquié"
"Indicativo
Pretérito

tú [esquiar]";"tú esquiaste"
"Indicativo
Pretérito

él [esquiar]";"él esquió"
"Indicativo
Pretérito

ella [esquiar]";"ella esquió"
"Indicativo
Pretérito

Usted [esquiar]";"Usted esquió"
"Indicativo
Pretérito

nosotros [esquiar]";"nosotros esquiamos"
"Indicativo
Pretérito

nosotras [esquiar]";"nosotras esquiamos"
"Indicativo
Pretérito

vosotros [esquiar]";"vosotros esquiasteis"
"Indicativo
Pretérito

vosotras [esquiar]";"vosotras esquiasteis"
"Indicativo
Pretérito

ellos [esquiar]";"ellos esquiaron"
"Indicativo
Pretérito

ellas [esquiar]";"ellas esquiaron"
"Indicativo
Pretérito

Ustedes [esquiar]";"Ustedes esquiaron"
"Indicativo
Pretérito

yo [estar]";"yo estuve"
"Indicativo
Pretérito

tú [estar]";"tú estuviste"
"Indicativo
Pretérito

él [estar]";"él estuvo"
"Indicativo
Pretérito

ella [estar]";"ella estuvo"
"Indicativo
Pretérito

Usted [estar]";"Usted estuvo"
"Indicativo
Pretérito

nosotros [estar]";"nosotros estuvimos"
"Indicativo
Pretérito

nosotras [estar]";"nosotras estuvimos"
"Indicativo
Pretérito

vosotros [estar]";"vosotros estuvisteis"
"Indicativo
Pretérito

vosotras [estar]";"vosotras estuvisteis"
"Indicativo
Pretérito

ellos [estar]";"ellos estuvieron"
"Indicativo
Pretérito

ellas [estar]";"ellas estuvieron"
"Indicativo
Pretérito

Ustedes [estar]";"Ustedes estuvieron"
"Indicativo
Pretérito

yo [estimar]";"yo estimé"
"Indicativo
Pretérito

tú [estimar]";"tú estimaste"
"Indicativo
Pretérito

él [estimar]";"él estimó"
"Indicativo
Pretérito

ella [estimar]";"ella estimó"
"Indicativo
Pretérito

Usted [estimar]";"Usted estimó"
"Indicativo
Pretérito

nosotros [estimar]";"nosotros estimamos"
"Indicativo
Pretérito

nosotras [estimar]";"nosotras estimamos"
"Indicativo
Pretérito

vosotros [estimar]";"vosotros estimasteis"
"Indicativo
Pretérito

vosotras [estimar]";"vosotras estimasteis"
"Indicativo
Pretérito

ellos [estimar]";"ellos estimaron"
"Indicativo
Pretérito

ellas [estimar]";"ellas estimaron"
"Indicativo
Pretérito

Ustedes [estimar]";"Ustedes estimaron"
"Indicativo
Pretérito

yo [estudiar]";"yo estudié"
"Indicativo
Pretérito

tú [estudiar]";"tú estudiaste"
"Indicativo
Pretérito

él [estudiar]";"él estudió"
"Indicativo
Pretérito

ella [estudiar]";"ella estudió"
"Indicativo
Pretérito

Usted [estudiar]";"Usted estudió"
"Indicativo
Pretérito

nosotros [estudiar]";"nosotros estudiamos"
"Indicativo
Pretérito

nosotras [estudiar]";"nosotras estudiamos"
"Indicativo
Pretérito

vosotros [estudiar]";"vosotros estudiasteis"
"Indicativo
Pretérito

vosotras [estudiar]";"vosotras estudiasteis"
"Indicativo
Pretérito

ellos [estudiar]";"ellos estudiaron"
"Indicativo
Pretérito

ellas [estudiar]";"ellas estudiaron"
"Indicativo
Pretérito

Ustedes [estudiar]";"Ustedes estudiaron"
"Indicativo
Pretérito

yo [evacuar]";"yo evacué"
"Indicativo
Pretérito

tú [evacuar]";"tú evacuaste"
"Indicativo
Pretérito

él [evacuar]";"él evacuó"
"Indicativo
Pretérito

ella [evacuar]";"ella evacuó"
"Indicativo
Pretérito

Usted [evacuar]";"Usted evacuó"
"Indicativo
Pretérito

nosotros [evacuar]";"nosotros evacuamos"
"Indicativo
Pretérito

nosotras [evacuar]";"nosotras evacuamos"
"Indicativo
Pretérito

vosotros [evacuar]";"vosotros evacuasteis"
"Indicativo
Pretérito

vosotras [evacuar]";"vosotras evacuasteis"
"Indicativo
Pretérito

ellos [evacuar]";"ellos evacuaron"
"Indicativo
Pretérito

ellas [evacuar]";"ellas evacuaron"
"Indicativo
Pretérito

Ustedes [evacuar]";"Ustedes evacuaron"
"Indicativo
Pretérito

yo [evitar]";"yo evité"
"Indicativo
Pretérito

tú [evitar]";"tú evitaste"
"Indicativo
Pretérito

él [evitar]";"él evitó"
"Indicativo
Pretérito

ella [evitar]";"ella evitó"
"Indicativo
Pretérito

Usted [evitar]";"Usted evitó"
"Indicativo
Pretérito

nosotros [evitar]";"nosotros evitamos"
"Indicativo
Pretérito

nosotras [evitar]";"nosotras evitamos"
"Indicativo
Pretérito

vosotros [evitar]";"vosotros evitasteis"
"Indicativo
Pretérito

vosotras [evitar]";"vosotras evitasteis"
"Indicativo
Pretérito

ellos [evitar]";"ellos evitaron"
"Indicativo
Pretérito

ellas [evitar]";"ellas evitaron"
"Indicativo
Pretérito

Ustedes [evitar]";"Ustedes evitaron"
"Indicativo
Pretérito

yo [explicar]";"yo expliqué"
"Indicativo
Pretérito

tú [explicar]";"tú explicaste"
"Indicativo
Pretérito

él [explicar]";"él explicó"
"Indicativo
Pretérito

ella [explicar]";"ella explicó"
"Indicativo
Pretérito

Usted [explicar]";"Usted explicó"
"Indicativo
Pretérito

nosotros [explicar]";"nosotros explicamos"
"Indicativo
Pretérito

nosotras [explicar]";"nosotras explicamos"
"Indicativo
Pretérito

vosotros [explicar]";"vosotros explicasteis"
"Indicativo
Pretérito

vosotras [explicar]";"vosotras explicasteis"
"Indicativo
Pretérito

ellos [explicar]";"ellos explicaron"
"Indicativo
Pretérito

ellas [explicar]";"ellas explicaron"
"Indicativo
Pretérito

Ustedes [explicar]";"Ustedes explicaron"
"Indicativo
Pretérito

yo [explorar]";"yo exploré"
"Indicativo
Pretérito

tú [explorar]";"tú exploraste"
"Indicativo
Pretérito

él [explorar]";"él exploró"
"Indicativo
Pretérito

ella [explorar]";"ella exploró"
"Indicativo
Pretérito

Usted [explorar]";"Usted exploró"
"Indicativo
Pretérito

nosotros [explorar]";"nosotros exploramos"
"Indicativo
Pretérito

nosotras [explorar]";"nosotras exploramos"
"Indicativo
Pretérito

vosotros [explorar]";"vosotros explorasteis"
"Indicativo
Pretérito

vosotras [explorar]";"vosotras explorasteis"
"Indicativo
Pretérito

ellos [explorar]";"ellos exploraron"
"Indicativo
Pretérito

ellas [explorar]";"ellas exploraron"
"Indicativo
Pretérito

Ustedes [explorar]";"Ustedes exploraron"
"Indicativo
Pretérito

yo [explotar]";"yo exploté"
"Indicativo
Pretérito

tú [explotar]";"tú explotaste"
"Indicativo
Pretérito

él [explotar]";"él explotó"
"Indicativo
Pretérito

ella [explotar]";"ella explotó"
"Indicativo
Pretérito

Usted [explotar]";"Usted explotó"
"Indicativo
Pretérito

nosotros [explotar]";"nosotros explotamos"
"Indicativo
Pretérito

nosotras [explotar]";"nosotras explotamos"
"Indicativo
Pretérito

vosotros [explotar]";"vosotros explotasteis"
"Indicativo
Pretérito

vosotras [explotar]";"vosotras explotasteis"
"Indicativo
Pretérito

ellos [explotar]";"ellos explotaron"
"Indicativo
Pretérito

ellas [explotar]";"ellas explotaron"
"Indicativo
Pretérito

Ustedes [explotar]";"Ustedes explotaron"
"Indicativo
Pretérito

yo [exportar]";"yo exporté"
"Indicativo
Pretérito

tú [exportar]";"tú exportaste"
"Indicativo
Pretérito

él [exportar]";"él exportó"
"Indicativo
Pretérito

ella [exportar]";"ella exportó"
"Indicativo
Pretérito

Usted [exportar]";"Usted exportó"
"Indicativo
Pretérito

nosotros [exportar]";"nosotros exportamos"
"Indicativo
Pretérito

nosotras [exportar]";"nosotras exportamos"
"Indicativo
Pretérito

vosotros [exportar]";"vosotros exportasteis"
"Indicativo
Pretérito

vosotras [exportar]";"vosotras exportasteis"
"Indicativo
Pretérito

ellos [exportar]";"ellos exportaron"
"Indicativo
Pretérito

ellas [exportar]";"ellas exportaron"
"Indicativo
Pretérito

Ustedes [exportar]";"Ustedes exportaron"
"Indicativo
Pretérito

yo [expresar]";"yo expresé"
"Indicativo
Pretérito

tú [expresar]";"tú expresaste"
"Indicativo
Pretérito

él [expresar]";"él expresó"
"Indicativo
Pretérito

ella [expresar]";"ella expresó"
"Indicativo
Pretérito

Usted [expresar]";"Usted expresó"
"Indicativo
Pretérito

nosotros [expresar]";"nosotros expresamos"
"Indicativo
Pretérito

nosotras [expresar]";"nosotras expresamos"
"Indicativo
Pretérito

vosotros [expresar]";"vosotros expresasteis"
"Indicativo
Pretérito

vosotras [expresar]";"vosotras expresasteis"
"Indicativo
Pretérito

ellos [expresar]";"ellos expresaron"
"Indicativo
Pretérito

ellas [expresar]";"ellas expresaron"
"Indicativo
Pretérito

Ustedes [expresar]";"Ustedes expresaron"
"Indicativo
Pretérito

yo [fabricar]";"yo fabriqué"
"Indicativo
Pretérito

tú [fabricar]";"tú fabricaste"
"Indicativo
Pretérito

él [fabricar]";"él fabricó"
"Indicativo
Pretérito

ella [fabricar]";"ella fabricó"
"Indicativo
Pretérito

Usted [fabricar]";"Usted fabricó"
"Indicativo
Pretérito

nosotros [fabricar]";"nosotros fabricamos"
"Indicativo
Pretérito

nosotras [fabricar]";"nosotras fabricamos"
"Indicativo
Pretérito

vosotros [fabricar]";"vosotros fabricasteis"
"Indicativo
Pretérito

vosotras [fabricar]";"vosotras fabricasteis"
"Indicativo
Pretérito

ellos [fabricar]";"ellos fabricaron"
"Indicativo
Pretérito

ellas [fabricar]";"ellas fabricaron"
"Indicativo
Pretérito

Ustedes [fabricar]";"Ustedes fabricaron"
"Indicativo
Pretérito

yo [faltar]";"yo falté"
"Indicativo
Pretérito

tú [faltar]";"tú faltaste"
"Indicativo
Pretérito

él [faltar]";"él faltó"
"Indicativo
Pretérito

ella [faltar]";"ella faltó"
"Indicativo
Pretérito

Usted [faltar]";"Usted faltó"
"Indicativo
Pretérito

nosotros [faltar]";"nosotros faltamos"
"Indicativo
Pretérito

nosotras [faltar]";"nosotras faltamos"
"Indicativo
Pretérito

vosotros [faltar]";"vosotros faltasteis"
"Indicativo
Pretérito

vosotras [faltar]";"vosotras faltasteis"
"Indicativo
Pretérito

ellos [faltar]";"ellos faltaron"
"Indicativo
Pretérito

ellas [faltar]";"ellas faltaron"
"Indicativo
Pretérito

Ustedes [faltar]";"Ustedes faltaron"
"Indicativo
Pretérito

yo [fascinar]";"yo fasciné"
"Indicativo
Pretérito

tú [fascinar]";"tú fascinaste"
"Indicativo
Pretérito

él [fascinar]";"él fascinó"
"Indicativo
Pretérito

ella [fascinar]";"ella fascinó"
"Indicativo
Pretérito

Usted [fascinar]";"Usted fascinó"
"Indicativo
Pretérito

nosotros [fascinar]";"nosotros fascinamos"
"Indicativo
Pretérito

nosotras [fascinar]";"nosotras fascinamos"
"Indicativo
Pretérito

vosotros [fascinar]";"vosotros fascinasteis"
"Indicativo
Pretérito

vosotras [fascinar]";"vosotras fascinasteis"
"Indicativo
Pretérito

ellos [fascinar]";"ellos fascinaron"
"Indicativo
Pretérito

ellas [fascinar]";"ellas fascinaron"
"Indicativo
Pretérito

Ustedes [fascinar]";"Ustedes fascinaron"
"Indicativo
Pretérito

yo [felicitar]";"yo felicité"
"Indicativo
Pretérito

tú [felicitar]";"tú felicitaste"
"Indicativo
Pretérito

él [felicitar]";"él felicitó"
"Indicativo
Pretérito

ella [felicitar]";"ella felicitó"
"Indicativo
Pretérito

Usted [felicitar]";"Usted felicitó"
"Indicativo
Pretérito

nosotros [felicitar]";"nosotros felicitamos"
"Indicativo
Pretérito

nosotras [felicitar]";"nosotras felicitamos"
"Indicativo
Pretérito

vosotros [felicitar]";"vosotros felicitasteis"
"Indicativo
Pretérito

vosotras [felicitar]";"vosotras felicitasteis"
"Indicativo
Pretérito

ellos [felicitar]";"ellos felicitaron"
"Indicativo
Pretérito

ellas [felicitar]";"ellas felicitaron"
"Indicativo
Pretérito

Ustedes [felicitar]";"Ustedes felicitaron"
"Indicativo
Pretérito

yo [fijar]";"yo fijé"
"Indicativo
Pretérito

tú [fijar]";"tú fijaste"
"Indicativo
Pretérito

él [fijar]";"él fijó"
"Indicativo
Pretérito

ella [fijar]";"ella fijó"
"Indicativo
Pretérito

Usted [fijar]";"Usted fijó"
"Indicativo
Pretérito

nosotros [fijar]";"nosotros fijamos"
"Indicativo
Pretérito

nosotras [fijar]";"nosotras fijamos"
"Indicativo
Pretérito

vosotros [fijar]";"vosotros fijasteis"
"Indicativo
Pretérito

vosotras [fijar]";"vosotras fijasteis"
"Indicativo
Pretérito

ellos [fijar]";"ellos fijaron"
"Indicativo
Pretérito

ellas [fijar]";"ellas fijaron"
"Indicativo
Pretérito

Ustedes [fijar]";"Ustedes fijaron"
"Indicativo
Pretérito

yo [firmar]";"yo firmé"
"Indicativo
Pretérito

tú [firmar]";"tú firmaste"
"Indicativo
Pretérito

él [firmar]";"él firmó"
"Indicativo
Pretérito

ella [firmar]";"ella firmó"
"Indicativo
Pretérito

Usted [firmar]";"Usted firmó"
"Indicativo
Pretérito

nosotros [firmar]";"nosotros firmamos"
"Indicativo
Pretérito

nosotras [firmar]";"nosotras firmamos"
"Indicativo
Pretérito

vosotros [firmar]";"vosotros firmasteis"
"Indicativo
Pretérito

vosotras [firmar]";"vosotras firmasteis"
"Indicativo
Pretérito

ellos [firmar]";"ellos firmaron"
"Indicativo
Pretérito

ellas [firmar]";"ellas firmaron"
"Indicativo
Pretérito

Ustedes [firmar]";"Ustedes firmaron"
"Indicativo
Pretérito

yo [formar]";"yo formé"
"Indicativo
Pretérito

tú [formar]";"tú formaste"
"Indicativo
Pretérito

él [formar]";"él formó"
"Indicativo
Pretérito

ella [formar]";"ella formó"
"Indicativo
Pretérito

Usted [formar]";"Usted formó"
"Indicativo
Pretérito

nosotros [formar]";"nosotros formamos"
"Indicativo
Pretérito

nosotras [formar]";"nosotras formamos"
"Indicativo
Pretérito

vosotros [formar]";"vosotros formasteis"
"Indicativo
Pretérito

vosotras [formar]";"vosotras formasteis"
"Indicativo
Pretérito

ellos [formar]";"ellos formaron"
"Indicativo
Pretérito

ellas [formar]";"ellas formaron"
"Indicativo
Pretérito

Ustedes [formar]";"Ustedes formaron"
"Indicativo
Pretérito

yo [fumar]";"yo fumé"
"Indicativo
Pretérito

tú [fumar]";"tú fumaste"
"Indicativo
Pretérito

él [fumar]";"él fumó"
"Indicativo
Pretérito

ella [fumar]";"ella fumó"
"Indicativo
Pretérito

Usted [fumar]";"Usted fumó"
"Indicativo
Pretérito

nosotros [fumar]";"nosotros fumamos"
"Indicativo
Pretérito

nosotras [fumar]";"nosotras fumamos"
"Indicativo
Pretérito

vosotros [fumar]";"vosotros fumasteis"
"Indicativo
Pretérito

vosotras [fumar]";"vosotras fumasteis"
"Indicativo
Pretérito

ellos [fumar]";"ellos fumaron"
"Indicativo
Pretérito

ellas [fumar]";"ellas fumaron"
"Indicativo
Pretérito

Ustedes [fumar]";"Ustedes fumaron"
"Indicativo
Pretérito

yo [funcionar]";"yo funcioné"
"Indicativo
Pretérito

tú [funcionar]";"tú funcionaste"
"Indicativo
Pretérito

él [funcionar]";"él funcionó"
"Indicativo
Pretérito

ella [funcionar]";"ella funcionó"
"Indicativo
Pretérito

Usted [funcionar]";"Usted funcionó"
"Indicativo
Pretérito

nosotros [funcionar]";"nosotros funcionamos"
"Indicativo
Pretérito

nosotras [funcionar]";"nosotras funcionamos"
"Indicativo
Pretérito

vosotros [funcionar]";"vosotros funcionasteis"
"Indicativo
Pretérito

vosotras [funcionar]";"vosotras funcionasteis"
"Indicativo
Pretérito

ellos [funcionar]";"ellos funcionaron"
"Indicativo
Pretérito

ellas [funcionar]";"ellas funcionaron"
"Indicativo
Pretérito

Ustedes [funcionar]";"Ustedes funcionaron"
"Indicativo
Pretérito

yo [ganar]";"yo gané"
"Indicativo
Pretérito

tú [ganar]";"tú ganaste"
"Indicativo
Pretérito

él [ganar]";"él ganó"
"Indicativo
Pretérito

ella [ganar]";"ella ganó"
"Indicativo
Pretérito

Usted [ganar]";"Usted ganó"
"Indicativo
Pretérito

nosotros [ganar]";"nosotros ganamos"
"Indicativo
Pretérito

nosotras [ganar]";"nosotras ganamos"
"Indicativo
Pretérito

vosotros [ganar]";"vosotros ganasteis"
"Indicativo
Pretérito

vosotras [ganar]";"vosotras ganasteis"
"Indicativo
Pretérito

ellos [ganar]";"ellos ganaron"
"Indicativo
Pretérito

ellas [ganar]";"ellas ganaron"
"Indicativo
Pretérito

Ustedes [ganar]";"Ustedes ganaron"
"Indicativo
Pretérito

yo [gastar]";"yo gasté"
"Indicativo
Pretérito

tú [gastar]";"tú gastaste"
"Indicativo
Pretérito

él [gastar]";"él gastó"
"Indicativo
Pretérito

ella [gastar]";"ella gastó"
"Indicativo
Pretérito

Usted [gastar]";"Usted gastó"
"Indicativo
Pretérito

nosotros [gastar]";"nosotros gastamos"
"Indicativo
Pretérito

nosotras [gastar]";"nosotras gastamos"
"Indicativo
Pretérito

vosotros [gastar]";"vosotros gastasteis"
"Indicativo
Pretérito

vosotras [gastar]";"vosotras gastasteis"
"Indicativo
Pretérito

ellos [gastar]";"ellos gastaron"
"Indicativo
Pretérito

ellas [gastar]";"ellas gastaron"
"Indicativo
Pretérito

Ustedes [gastar]";"Ustedes gastaron"
"Indicativo
Pretérito

yo [generalizar]";"yo generalicé"
"Indicativo
Pretérito

tú [generalizar]";"tú generalizaste"
"Indicativo
Pretérito

él [generalizar]";"él generalizó"
"Indicativo
Pretérito

ella [generalizar]";"ella generalizó"
"Indicativo
Pretérito

Usted [generalizar]";"Usted generalizó"
"Indicativo
Pretérito

nosotros [generalizar]";"nosotros generalizamos"
"Indicativo
Pretérito

nosotras [generalizar]";"nosotras generalizamos"
"Indicativo
Pretérito

vosotros [generalizar]";"vosotros generalizasteis"
"Indicativo
Pretérito

vosotras [generalizar]";"vosotras generalizasteis"
"Indicativo
Pretérito

ellos [generalizar]";"ellos generalizaron"
"Indicativo
Pretérito

ellas [generalizar]";"ellas generalizaron"
"Indicativo
Pretérito

Ustedes [generalizar]";"Ustedes generalizaron"
"Indicativo
Pretérito

yo [glorificar]";"yo glorifiqué"
"Indicativo
Pretérito

tú [glorificar]";"tú glorificaste"
"Indicativo
Pretérito

él [glorificar]";"él glorificó"
"Indicativo
Pretérito

ella [glorificar]";"ella glorificó"
"Indicativo
Pretérito

Usted [glorificar]";"Usted glorificó"
"Indicativo
Pretérito

nosotros [glorificar]";"nosotros glorificamos"
"Indicativo
Pretérito

nosotras [glorificar]";"nosotras glorificamos"
"Indicativo
Pretérito

vosotros [glorificar]";"vosotros glorificasteis"
"Indicativo
Pretérito

vosotras [glorificar]";"vosotras glorificasteis"
"Indicativo
Pretérito

ellos [glorificar]";"ellos glorificaron"
"Indicativo
Pretérito

ellas [glorificar]";"ellas glorificaron"
"Indicativo
Pretérito

Ustedes [glorificar]";"Ustedes glorificaron"
"Indicativo
Pretérito

yo [gobernar]";"yo goberné"
"Indicativo
Pretérito

tú [gobernar]";"tú gobernaste"
"Indicativo
Pretérito

él [gobernar]";"él gobernó"
"Indicativo
Pretérito

ella [gobernar]";"ella gobernó"
"Indicativo
Pretérito

Usted [gobernar]";"Usted gobernó"
"Indicativo
Pretérito

nosotros [gobernar]";"nosotros gobernamos"
"Indicativo
Pretérito

nosotras [gobernar]";"nosotras gobernamos"
"Indicativo
Pretérito

vosotros [gobernar]";"vosotros gobernasteis"
"Indicativo
Pretérito

vosotras [gobernar]";"vosotras gobernasteis"
"Indicativo
Pretérito

ellos [gobernar]";"ellos gobernaron"
"Indicativo
Pretérito

ellas [gobernar]";"ellas gobernaron"
"Indicativo
Pretérito

Ustedes [gobernar]";"Ustedes gobernaron"
"Indicativo
Pretérito

yo [graduar]";"yo gradué"
"Indicativo
Pretérito

tú [graduar]";"tú graduaste"
"Indicativo
Pretérito

él [graduar]";"él graduó"
"Indicativo
Pretérito

ella [graduar]";"ella graduó"
"Indicativo
Pretérito

Usted [graduar]";"Usted graduó"
"Indicativo
Pretérito

nosotros [graduar]";"nosotros graduamos"
"Indicativo
Pretérito

nosotras [graduar]";"nosotras graduamos"
"Indicativo
Pretérito

vosotros [graduar]";"vosotros graduasteis"
"Indicativo
Pretérito

vosotras [graduar]";"vosotras graduasteis"
"Indicativo
Pretérito

ellos [graduar]";"ellos graduaron"
"Indicativo
Pretérito

ellas [graduar]";"ellas graduaron"
"Indicativo
Pretérito

Ustedes [graduar]";"Ustedes graduaron"
"Indicativo
Pretérito

yo [gritar]";"yo grité"
"Indicativo
Pretérito

tú [gritar]";"tú gritaste"
"Indicativo
Pretérito

él [gritar]";"él gritó"
"Indicativo
Pretérito

ella [gritar]";"ella gritó"
"Indicativo
Pretérito

Usted [gritar]";"Usted gritó"
"Indicativo
Pretérito

nosotros [gritar]";"nosotros gritamos"
"Indicativo
Pretérito

nosotras [gritar]";"nosotras gritamos"
"Indicativo
Pretérito

vosotros [gritar]";"vosotros gritasteis"
"Indicativo
Pretérito

vosotras [gritar]";"vosotras gritasteis"
"Indicativo
Pretérito

ellos [gritar]";"ellos gritaron"
"Indicativo
Pretérito

ellas [gritar]";"ellas gritaron"
"Indicativo
Pretérito

Ustedes [gritar]";"Ustedes gritaron"
"Indicativo
Pretérito

yo [guardar]";"yo guardé"
"Indicativo
Pretérito

tú [guardar]";"tú guardaste"
"Indicativo
Pretérito

él [guardar]";"él guardó"
"Indicativo
Pretérito

ella [guardar]";"ella guardó"
"Indicativo
Pretérito

Usted [guardar]";"Usted guardó"
"Indicativo
Pretérito

nosotros [guardar]";"nosotros guardamos"
"Indicativo
Pretérito

nosotras [guardar]";"nosotras guardamos"
"Indicativo
Pretérito

vosotros [guardar]";"vosotros guardasteis"
"Indicativo
Pretérito

vosotras [guardar]";"vosotras guardasteis"
"Indicativo
Pretérito

ellos [guardar]";"ellos guardaron"
"Indicativo
Pretérito

ellas [guardar]";"ellas guardaron"
"Indicativo
Pretérito

Ustedes [guardar]";"Ustedes guardaron"
"Indicativo
Pretérito

yo [guiar]";"yo guie"
"Indicativo
Pretérito

tú [guiar]";"tú guiaste"
"Indicativo
Pretérito

él [guiar]";"él guio"
"Indicativo
Pretérito

ella [guiar]";"ella guio"
"Indicativo
Pretérito

Usted [guiar]";"Usted guio"
"Indicativo
Pretérito

nosotros [guiar]";"nosotros guiamos"
"Indicativo
Pretérito

nosotras [guiar]";"nosotras guiamos"
"Indicativo
Pretérito

vosotros [guiar]";"vosotros guiasteis"
"Indicativo
Pretérito

vosotras [guiar]";"vosotras guiasteis"
"Indicativo
Pretérito

ellos [guiar]";"ellos guiaron"
"Indicativo
Pretérito

ellas [guiar]";"ellas guiaron"
"Indicativo
Pretérito

Ustedes [guiar]";"Ustedes guiaron"
"Indicativo
Pretérito

yo [gustar]";"yo gusté"
"Indicativo
Pretérito

tú [gustar]";"tú gustaste"
"Indicativo
Pretérito

él [gustar]";"él gustó"
"Indicativo
Pretérito

ella [gustar]";"ella gustó"
"Indicativo
Pretérito

Usted [gustar]";"Usted gustó"
"Indicativo
Pretérito

nosotros [gustar]";"nosotros gustamos"
"Indicativo
Pretérito

nosotras [gustar]";"nosotras gustamos"
"Indicativo
Pretérito

vosotros [gustar]";"vosotros gustasteis"
"Indicativo
Pretérito

vosotras [gustar]";"vosotras gustasteis"
