#separator:Semicolon
#html:false
"Indicativo
Presente

yo [abrir]";"yo abro"
"Indicativo
Presente

nosotras [entretener]";"nosotras entretenemos"
"Indicativo
Presente

vosotros [entretener]";"vosotros entretenéis"
"Indicativo
Presente

vosotras [entretener]";"vosotras entretenéis"
"Indicativo
Presente

ellos [entretener]";"ellos entretienen"
"Indicativo
Presente

ellas [entretener]";"ellas entretienen"
"Indicativo
Presente

Ustedes [entretener]";"Ustedes entretienen"
"Indicativo
Presente

yo [envejecer]";"yo envejezco"
"Indicativo
Presente

tú [envejecer]";"tú envejeces"
"Indicativo
Presente

él [envejecer]";"él envejece"
"Indicativo
Presente

ella [envejecer]";"ella envejece"
"Indicativo
Presente

Usted [envejecer]";"Usted envejece"
"Indicativo
Presente

nosotros [envejecer]";"nosotros envejecemos"
"Indicativo
Presente

nosotras [envejecer]";"nosotras envejecemos"
"Indicativo
Presente

vosotros [envejecer]";"vosotros envejecéis"
"Indicativo
Presente

vosotras [envejecer]";"vosotras envejecéis"
"Indicativo
Presente

ellos [envejecer]";"ellos envejecen"
"Indicativo
Presente

ellas [envejecer]";"ellas envejecen"
"Indicativo
Presente

Ustedes [envejecer]";"Ustedes envejecen"
"Indicativo
Presente

yo [escoger]";"yo escojo"
"Indicativo
Presente

tú [escoger]";"tú escoges"
"Indicativo
Presente

él [escoger]";"él escoge"
"Indicativo
Presente

ella [escoger]";"ella escoge"
"Indicativo
Presente

Usted [escoger]";"Usted escoge"
"Indicativo
Presente

nosotros [escoger]";"nosotros escogemos"
"Indicativo
Presente

nosotras [escoger]";"nosotras escogemos"
"Indicativo
Presente

vosotros [escoger]";"vosotros escogéis"
"Indicativo
Presente

vosotras [escoger]";"vosotras escogéis"
"Indicativo
Presente

ellos [escoger]";"ellos escogen"
"Indicativo
Presente

ellas [escoger]";"ellas escogen"
"Indicativo
Presente

Ustedes [escoger]";"Ustedes escogen"
"Indicativo
Presente

yo [esconder]";"yo escondo"
"Indicativo
Presente

tú [esconder]";"tú escondes"
"Indicativo
Presente

él [esconder]";"él esconde"
"Indicativo
Presente

ella [esconder]";"ella esconde"
"Indicativo
Presente

Usted [esconder]";"Usted esconde"
"Indicativo
Presente

nosotros [esconder]";"nosotros escondemos"
"Indicativo
Presente

nosotras [esconder]";"nosotras escondemos"
"Indicativo
Presente

vosotros [esconder]";"vosotros escondéis"
"Indicativo
Presente

vosotras [esconder]";"vosotras escondéis"
"Indicativo
Presente

ellos [esconder]";"ellos esconden"
"Indicativo
Presente

ellas [esconder]";"ellas esconden"
"Indicativo
Presente

Ustedes [esconder]";"Ustedes esconden"
"Indicativo
Presente

yo [escribir]";"yo escribo"
"Indicativo
Presente

tú [escribir]";"tú escribes"
"Indicativo
Presente

él [escribir]";"él escribe"
"Indicativo
Presente

ella [escribir]";"ella escribe"
"Indicativo
Presente

Usted [escribir]";"Usted escribe"
"Indicativo
Presente

nosotros [escribir]";"nosotros escribimos"
"Indicativo
Presente

nosotras [escribir]";"nosotras escribimos"
"Indicativo
Presente

vosotros [escribir]";"vosotros escribís"
"Indicativo
Presente

vosotras [escribir]";"vosotras escribís"
"Indicativo
Presente

ellos [escribir]";"ellos escriben"
"Indicativo
Presente

ellas [escribir]";"ellas escriben"
"Indicativo
Presente

Ustedes [escribir]";"Ustedes escriben"
"Indicativo
Presente

yo [establecer]";"yo establezco"
"Indicativo
Presente

tú [establecer]";"tú estableces"
"Indicativo
Presente

él [establecer]";"él establece"
"Indicativo
Presente

ella [establecer]";"ella establece"
"Indicativo
Presente

Usted [establecer]";"Usted establece"
"Indicativo
Presente

nosotros [establecer]";"nosotros establecemos"
"Indicativo
Presente

nosotras [establecer]";"nosotras establecemos"
"Indicativo
Presente

vosotros [establecer]";"vosotros establecéis"
"Indicativo
Presente

vosotras [establecer]";"vosotras establecéis"
"Indicativo
Presente

ellos [establecer]";"ellos establecen"
"Indicativo
Presente

ellas [establecer]";"ellas establecen"
"Indicativo
Presente

Ustedes [establecer]";"Ustedes establecen"
"Indicativo
Presente

yo [exhibir]";"yo exhibo"
"Indicativo
Presente

tú [exhibir]";"tú exhibes"
"Indicativo
Presente

él [exhibir]";"él exhibe"
"Indicativo
Presente

ella [exhibir]";"ella exhibe"
"Indicativo
Presente

Usted [exhibir]";"Usted exhibe"
"Indicativo
Presente

nosotros [exhibir]";"nosotros exhibimos"
"Indicativo
Presente

nosotras [exhibir]";"nosotras exhibimos"
"Indicativo
Presente

vosotros [exhibir]";"vosotros exhibís"
"Indicativo
Presente

vosotras [exhibir]";"vosotras exhibís"
"Indicativo
Presente

ellos [exhibir]";"ellos exhiben"
"Indicativo
Presente

ellas [exhibir]";"ellas exhiben"
"Indicativo
Presente

Ustedes [exhibir]";"Ustedes exhiben"
"Indicativo
Presente

yo [exigir]";"yo exijo"
"Indicativo
Presente

tú [exigir]";"tú exiges"
"Indicativo
Presente

él [exigir]";"él exige"
"Indicativo
Presente

ella [exigir]";"ella exige"
"Indicativo
Presente

Usted [exigir]";"Usted exige"
"Indicativo
Presente

nosotros [exigir]";"nosotros exigimos"
"Indicativo
Presente

nosotras [exigir]";"nosotras exigimos"
"Indicativo
Presente

vosotros [exigir]";"vosotros exigís"
"Indicativo
Presente

vosotras [exigir]";"vosotras exigís"
"Indicativo
Presente

ellos [exigir]";"ellos exigen"
"Indicativo
Presente

ellas [exigir]";"ellas exigen"
"Indicativo
Presente

Ustedes [exigir]";"Ustedes exigen"
"Indicativo
Presente

yo [exponer]";"yo expongo"
"Indicativo
Presente

tú [exponer]";"tú expones"
"Indicativo
Presente

él [exponer]";"él expone"
"Indicativo
Presente

ella [exponer]";"ella expone"
"Indicativo
Presente

Usted [exponer]";"Usted expone"
"Indicativo
Presente

nosotros [exponer]";"nosotros exponemos"
"Indicativo
Presente

nosotras [exponer]";"nosotras exponemos"
"Indicativo
Presente

vosotros [exponer]";"vosotros exponéis"
"Indicativo
Presente

vosotras [exponer]";"vosotras exponéis"
"Indicativo
Presente

ellos [exponer]";"ellos exponen"
"Indicativo
Presente

ellas [exponer]";"ellas exponen"
"Indicativo
Presente

Ustedes [exponer]";"Ustedes exponen"
"Indicativo
Presente

yo [extender]";"yo extiendo"
"Indicativo
Presente

tú [extender]";"tú extiendes"
"Indicativo
Presente

él [extender]";"él extiende"
"Indicativo
Presente

ella [extender]";"ella extiende"
"Indicativo
Presente

Usted [extender]";"Usted extiende"
"Indicativo
Presente

nosotros [extender]";"nosotros extendemos"
"Indicativo
Presente

nosotras [extender]";"nosotras extendemos"
"Indicativo
Presente

vosotros [extender]";"vosotros extendéis"
"Indicativo
Presente

vosotras [extender]";"vosotras extendéis"
"Indicativo
Presente

ellos [extender]";"ellos extienden"
"Indicativo
Presente

ellas [extender]";"ellas extienden"
"Indicativo
Presente

Ustedes [extender]";"Ustedes extienden"
"Indicativo
Presente

yo [extinguir]";"yo extingo"
"Indicativo
Presente

tú [extinguir]";"tú extingues"
"Indicativo
Presente

él [extinguir]";"él extingue"
"Indicativo
Presente

ella [extinguir]";"ella extingue"
"Indicativo
Presente

Usted [extinguir]";"Usted extingue"
"Indicativo
Presente

nosotros [extinguir]";"nosotros extinguimos"
"Indicativo
Presente

nosotras [extinguir]";"nosotras extinguimos"
"Indicativo
Presente

vosotros [extinguir]";"vosotros extinguís"
"Indicativo
Presente

vosotras [extinguir]";"vosotras extinguís"
"Indicativo
Presente

ellos [extinguir]";"ellos extinguen"
"Indicativo
Presente

ellas [extinguir]";"ellas extinguen"
"Indicativo
Presente

Ustedes [extinguir]";"Ustedes extinguen"
"Indicativo
Presente

yo [fingir]";"yo finjo"
"Indicativo
Presente

tú [fingir]";"tú finges"
"Indicativo
Presente

él [fingir]";"él finge"
"Indicativo
Presente

ella [fingir]";"ella finge"
"Indicativo
Presente

Usted [fingir]";"Usted finge"
"Indicativo
Presente

nosotros [fingir]";"nosotros fingimos"
"Indicativo
Presente

nosotras [fingir]";"nosotras fingimos"
"Indicativo
Presente

vosotros [fingir]";"vosotros fingís"
"Indicativo
Presente

vosotras [fingir]";"vosotras fingís"
"Indicativo
Presente

ellos [fingir]";"ellos fingen"
"Indicativo
Presente

ellas [fingir]";"ellas fingen"
"Indicativo
Presente

Ustedes [fingir]";"Ustedes fingen"
"Indicativo
Presente

yo [florecer]";"yo florezco"
"Indicativo
Presente

tú [florecer]";"tú floreces"
"Indicativo
Presente

él [florecer]";"él florece"
"Indicativo
Presente

ella [florecer]";"ella florece"
"Indicativo
Presente

Usted [florecer]";"Usted florece"
"Indicativo
Presente

nosotros [florecer]";"nosotros florecemos"
"Indicativo
Presente

nosotras [florecer]";"nosotras florecemos"
"Indicativo
Presente

vosotros [florecer]";"vosotros florecéis"
"Indicativo
Presente

vosotras [florecer]";"vosotras florecéis"
"Indicativo
Presente

ellos [florecer]";"ellos florecen"
"Indicativo
Presente

ellas [florecer]";"ellas florecen"
"Indicativo
Presente

Ustedes [florecer]";"Ustedes florecen"
"Indicativo
Presente

yo [fortalecer]";"yo fortalezco"
"Indicativo
Presente

tú [fortalecer]";"tú fortaleces"
"Indicativo
Presente

él [fortalecer]";"él fortalece"
"Indicativo
Presente

ella [fortalecer]";"ella fortalece"
"Indicativo
Presente

Usted [fortalecer]";"Usted fortalece"
"Indicativo
Presente

nosotros [fortalecer]";"nosotros fortalecemos"
"Indicativo
Presente

nosotras [fortalecer]";"nosotras fortalecemos"
"Indicativo
Presente

vosotros [fortalecer]";"vosotros fortalecéis"
"Indicativo
Presente

vosotras [fortalecer]";"vosotras fortalecéis"
"Indicativo
Presente

ellos [fortalecer]";"ellos fortalecen"
"Indicativo
Presente

ellas [fortalecer]";"ellas fortalecen"
"Indicativo
Presente

Ustedes [fortalecer]";"Ustedes fortalecen"
"Indicativo
Presente

yo [gruñir]";"yo gruño"
"Indicativo
Presente

tú [gruñir]";"tú gruñes"
"Indicativo
Presente

él [gruñir]";"él gruñe"
"Indicativo
Presente

ella [gruñir]";"ella gruñe"
"Indicativo
Presente

Usted [gruñir]";"Usted gruñe"
"Indicativo
Presente

nosotros [gruñir]";"nosotros gruñimos"
"Indicativo
Presente

nosotras [gruñir]";"nosotras gruñimos"
"Indicativo
Presente

vosotros [gruñir]";"vosotros gruñís"
"Indicativo
Presente

vosotras [gruñir]";"vosotras gruñís"
"Indicativo
Presente

ellos [gruñir]";"ellos gruñen"
"Indicativo
Presente

ellas [gruñir]";"ellas gruñen"
"Indicativo
Presente

Ustedes [gruñir]";"Ustedes gruñen"
"Indicativo
Presente

yo [hacer]";"yo hago"
"Indicativo
Presente

tú [hacer]";"tú haces"
"Indicativo
Presente

él [hacer]";"él hace"
"Indicativo
Presente

ella [hacer]";"ella hace"
"Indicativo
Presente

Usted [hacer]";"Usted hace"
"Indicativo
Presente

nosotros [hacer]";"nosotros hacemos"
"Indicativo
Presente

nosotras [hacer]";"nosotras hacemos"
"Indicativo
Presente

vosotros [hacer]";"vosotros hacéis"
"Indicativo
Presente

vosotras [hacer]";"vosotras hacéis"
"Indicativo
Presente

ellos [hacer]";"ellos hacen"
"Indicativo
Presente

ellas [hacer]";"ellas hacen"
"Indicativo
Presente

Ustedes [hacer]";"Ustedes hacen"
"Indicativo
Presente

yo [herir]";"yo hiero"
"Indicativo
Presente

tú [herir]";"tú hieres"
"Indicativo
Presente

él [herir]";"él hiere"
"Indicativo
Presente

ella [herir]";"ella hiere"
"Indicativo
Presente

Usted [herir]";"Usted hiere"
"Indicativo
Presente

nosotros [herir]";"nosotros herimos"
"Indicativo
Presente

nosotras [herir]";"nosotras herimos"
"Indicativo
Presente

vosotros [herir]";"vosotros herís"
"Indicativo
Presente

vosotras [herir]";"vosotras herís"
"Indicativo
Presente

ellos [herir]";"ellos hieren"
"Indicativo
Presente

ellas [herir]";"ellas hieren"
"Indicativo
Presente

Ustedes [herir]";"Ustedes hieren"
"Indicativo
Presente

yo [hervir]";"yo hiervo"
"Indicativo
Presente

tú [hervir]";"tú hierves"
"Indicativo
Presente

él [hervir]";"él hierve"
"Indicativo
Presente

ella [hervir]";"ella hierve"
"Indicativo
Presente

Usted [hervir]";"Usted hierve"
"Indicativo
Presente

nosotros [hervir]";"nosotros hervimos"
"Indicativo
Presente

nosotras [hervir]";"nosotras hervimos"
"Indicativo
Presente

vosotros [hervir]";"vosotros hervís"
"Indicativo
Presente

vosotras [hervir]";"vosotras hervís"
"Indicativo
Presente

ellos [hervir]";"ellos hierven"
"Indicativo
Presente

ellas [hervir]";"ellas hierven"
"Indicativo
Presente

Ustedes [hervir]";"Ustedes hierven"
"Indicativo
Presente

yo [huir]";"yo huyo"
"Indicativo
Presente

tú [huir]";"tú huyes"
"Indicativo
Presente

él [huir]";"él huye"
"Indicativo
Presente

ella [huir]";"ella huye"
"Indicativo
Presente

Usted [huir]";"Usted huye"
"Indicativo
Presente

nosotros [huir]";"nosotros huimos"
"Indicativo
Presente

nosotras [huir]";"nosotras huimos"
"Indicativo
Presente

vosotros [huir]";"vosotros huís"
"Indicativo
Presente

vosotras [huir]";"vosotras huís"
"Indicativo
Presente

ellos [huir]";"ellos huyen"
"Indicativo
Presente

ellas [huir]";"ellas huyen"
"Indicativo
Presente

Ustedes [huir]";"Ustedes huyen"
"Indicativo
Presente

yo [imprimir]";"yo imprimo"
"Indicativo
Presente

tú [imprimir]";"tú imprimes"
"Indicativo
Presente

él [imprimir]";"él imprime"
"Indicativo
Presente

ella [imprimir]";"ella imprime"
"Indicativo
Presente

Usted [imprimir]";"Usted imprime"
"Indicativo
Presente

nosotros [imprimir]";"nosotros imprimimos"
"Indicativo
Presente

nosotras [imprimir]";"nosotras imprimimos"
"Indicativo
Presente

vosotros [imprimir]";"vosotros imprimís"
"Indicativo
Presente

vosotras [imprimir]";"vosotras imprimís"
"Indicativo
Presente

ellos [imprimir]";"ellos imprimen"
"Indicativo
Presente

ellas [imprimir]";"ellas imprimen"
"Indicativo
Presente

Ustedes [imprimir]";"Ustedes imprimen"
"Indicativo
Presente

yo [incluir]";"yo incluyo"
"Indicativo
Presente

tú [incluir]";"tú incluyes"
"Indicativo
Presente

él [incluir]";"él incluye"
"Indicativo
Presente

ella [incluir]";"ella incluye"
"Indicativo
Presente

Usted [incluir]";"Usted incluye"
"Indicativo
Presente

nosotros [incluir]";"nosotros incluimos"
"Indicativo
Presente

nosotras [incluir]";"nosotras incluimos"
"Indicativo
Presente

vosotros [incluir]";"vosotros incluís"
"Indicativo
Presente

vosotras [incluir]";"vosotras incluís"
"Indicativo
Presente

ellos [incluir]";"ellos incluyen"
"Indicativo
Presente

ellas [incluir]";"ellas incluyen"
"Indicativo
Presente

Ustedes [incluir]";"Ustedes incluyen"
"Indicativo
Presente

yo [inducir]";"yo induzco"
"Indicativo
Presente

tú [inducir]";"tú induces"
"Indicativo
Presente

él [inducir]";"él induce"
"Indicativo
Presente

ella [inducir]";"ella induce"
"Indicativo
Presente

Usted [inducir]";"Usted induce"
"Indicativo
Presente

nosotros [inducir]";"nosotros inducimos"
"Indicativo
Presente

nosotras [inducir]";"nosotras inducimos"
"Indicativo
Presente

vosotros [inducir]";"vosotros inducís"
"Indicativo
Presente

vosotras [inducir]";"vosotras inducís"
"Indicativo
Presente

ellos [inducir]";"ellos inducen"
"Indicativo
Presente

ellas [inducir]";"ellas inducen"
"Indicativo
Presente

Ustedes [inducir]";"Ustedes inducen"
"Indicativo
Presente

yo [influir]";"yo influyo"
"Indicativo
Presente

tú [influir]";"tú influyes"
"Indicativo
Presente

él [influir]";"él influye"
"Indicativo
Presente

ella [influir]";"ella influye"
"Indicativo
Presente

Usted [influir]";"Usted influye"
"Indicativo
Presente

nosotros [influir]";"nosotros influimos"
"Indicativo
Presente

nosotras [influir]";"nosotras influimos"
"Indicativo
Presente

vosotros [influir]";"vosotros influís"
"Indicativo
Presente

vosotras [influir]";"vosotras influís"
"Indicativo
Presente

ellos [influir]";"ellos influyen"
"Indicativo
Presente

ellas [influir]";"ellas influyen"
"Indicativo
Presente

Ustedes [influir]";"Ustedes influyen"
"Indicativo
Presente

yo [insistir]";"yo insisto"
"Indicativo
Presente

tú [insistir]";"tú insistes"
"Indicativo
Presente

él [insistir]";"él insiste"
"Indicativo
Presente

ella [insistir]";"ella insiste"
"Indicativo
Presente

Usted [insistir]";"Usted insiste"
"Indicativo
Presente

nosotros [insistir]";"nosotros insistimos"
"Indicativo
Presente

nosotras [insistir]";"nosotras insistimos"
"Indicativo
Presente

vosotros [insistir]";"vosotros insistís"
"Indicativo
Presente

vosotras [insistir]";"vosotras insistís"
"Indicativo
Presente

ellos [insistir]";"ellos insisten"
"Indicativo
Presente

ellas [insistir]";"ellas insisten"
"Indicativo
Presente

Ustedes [insistir]";"Ustedes insisten"
"Indicativo
Presente

yo [introducir]";"yo introduzco"
"Indicativo
Presente

tú [introducir]";"tú introduces"
"Indicativo
Presente

él [introducir]";"él introduce"
"Indicativo
Presente

ella [introducir]";"ella introduce"
"Indicativo
Presente

Usted [introducir]";"Usted introduce"
"Indicativo
Presente

nosotros [introducir]";"nosotros introducimos"
"Indicativo
Presente

nosotras [introducir]";"nosotras introducimos"
"Indicativo
Presente

vosotros [introducir]";"vosotros introducís"
"Indicativo
Presente

vosotras [introducir]";"vosotras introducís"
"Indicativo
Presente

ellos [introducir]";"ellos introducen"
"Indicativo
Presente

ellas [introducir]";"ellas introducen"
"Indicativo
Presente

Ustedes [introducir]";"Ustedes introducen"
"Indicativo
Presente

yo [invadir]";"yo invado"
"Indicativo
Presente

tú [invadir]";"tú invades"
"Indicativo
Presente

él [invadir]";"él invade"
"Indicativo
Presente

ella [invadir]";"ella invade"
"Indicativo
Presente

Usted [invadir]";"Usted invade"
"Indicativo
Presente

nosotros [invadir]";"nosotros invadimos"
"Indicativo
Presente

nosotras [invadir]";"nosotras invadimos"
"Indicativo
Presente

vosotros [invadir]";"vosotros invadís"
"Indicativo
Presente

vosotras [invadir]";"vosotras invadís"
"Indicativo
Presente

ellos [invadir]";"ellos invaden"
"Indicativo
Presente

ellas [invadir]";"ellas invaden"
"Indicativo
Presente

Ustedes [invadir]";"Ustedes invaden"
"Indicativo
Presente

yo [invertir]";"yo invierto"
"Indicativo
Presente

tú [invertir]";"tú inviertes"
"Indicativo
Presente

él [invertir]";"él invierte"
"Indicativo
Presente

ella [invertir]";"ella invierte"
"Indicativo
Presente

Usted [invertir]";"Usted invierte"
"Indicativo
Presente

nosotros [invertir]";"nosotros invertimos"
"Indicativo
Presente

nosotras [invertir]";"nosotras invertimos"
"Indicativo
Presente

vosotros [invertir]";"vosotros invertís"
"Indicativo
Presente

vosotras [invertir]";"vosotras invertís"
"Indicativo
Presente

ellos [invertir]";"ellos invierten"
"Indicativo
Presente

ellas [invertir]";"ellas invierten"
"Indicativo
Presente

Ustedes [invertir]";"Ustedes invierten"
"Indicativo
Presente

yo [ir]";"yo voy"
"Indicativo
Presente

tú [ir]";"tú vas"
"Indicativo
Presente

él [ir]";"él va"
"Indicativo
Presente

ella [ir]";"ella va"
"Indicativo
Presente

Usted [ir]";"Usted va"
"Indicativo
Presente

nosotros [ir]";"nosotros vamos"
"Indicativo
Presente

nosotras [ir]";"nosotras vamos"
"Indicativo
Presente

vosotros [ir]";"vosotros vais"
"Indicativo
Presente

vosotras [ir]";"vosotras vais"
"Indicativo
Presente

ellos [ir]";"ellos van"
"Indicativo
Presente

ellas [ir]";"ellas van"
"Indicativo
Presente

Ustedes [ir]";"Ustedes van"
"Indicativo
Presente

yo [leer]";"yo leo"
"Indicativo
Presente

tú [leer]";"tú lees"
"Indicativo
Presente

él [leer]";"él lee"
"Indicativo
Presente

ella [leer]";"ella lee"
"Indicativo
Presente

Usted [leer]";"Usted lee"
"Indicativo
Presente

nosotros [leer]";"nosotros leemos"
"Indicativo
Presente

nosotras [leer]";"nosotras leemos"
"Indicativo
Presente

vosotros [leer]";"vosotros leéis"
"Indicativo
Presente

vosotras [leer]";"vosotras leéis"
"Indicativo
Presente

ellos [leer]";"ellos leen"
"Indicativo
Presente

ellas [leer]";"ellas leen"
"Indicativo
Presente

Ustedes [leer]";"Ustedes leen"
"Indicativo
Presente

yo [llover]";"yo "
"Indicativo
Presente

tú [llover]";"tú "
"Indicativo
Presente

él [llover]";"él llueve"
"Indicativo
Presente

ella [llover]";"ella llueve"
"Indicativo
Presente

Usted [llover]";"Usted llueve"
"Indicativo
Presente

nosotros [llover]";"nosotros "
"Indicativo
Presente

nosotras [llover]";"nosotras "
"Indicativo
Presente

vosotros [llover]";"vosotros "
"Indicativo
Presente

vosotras [llover]";"vosotras "
"Indicativo
Presente

ellos [llover]";"ellos "
"Indicativo
Presente

ellas [llover]";"ellas "
"Indicativo
Presente

Ustedes [llover]";"Ustedes "
"Indicativo
Presente

yo [mantener]";"yo mantengo"
"Indicativo
Presente

tú [mantener]";"tú mantienes"
"Indicativo
Presente

él [mantener]";"él mantiene"
"Indicativo
Presente

ella [mantener]";"ella mantiene"
"Indicativo
Presente

Usted [mantener]";"Usted mantiene"
"Indicativo
Presente

nosotros [mantener]";"nosotros mantenemos"
"Indicativo
Presente

nosotras [mantener]";"nosotras mantenemos"
"Indicativo
Presente

vosotros [mantener]";"vosotros mantenéis"
"Indicativo
Presente

vosotras [mantener]";"vosotras mantenéis"
"Indicativo
Presente

ellos [mantener]";"ellos mantienen"
"Indicativo
Presente

ellas [mantener]";"ellas mantienen"
"Indicativo
Presente

Ustedes [mantener]";"Ustedes mantienen"
"Indicativo
Presente

yo [medir]";"yo mido"
"Indicativo
Presente

tú [medir]";"tú mides"
"Indicativo
Presente

él [medir]";"él mide"
"Indicativo
Presente

ella [medir]";"ella mide"
"Indicativo
Presente

Usted [medir]";"Usted mide"
"Indicativo
Presente

nosotros [medir]";"nosotros medimos"
"Indicativo
Presente

nosotras [medir]";"nosotras medimos"
"Indicativo
Presente

vosotros [medir]";"vosotros medís"
"Indicativo
Presente

vosotras [medir]";"vosotras medís"
"Indicativo
Presente

ellos [medir]";"ellos miden"
"Indicativo
Presente

ellas [medir]";"ellas miden"
"Indicativo
Presente

Ustedes [medir]";"Ustedes miden"
"Indicativo
Presente

yo [mentir]";"yo miento"
"Indicativo
Presente

tú [mentir]";"tú mientes"
"Indicativo
Presente

él [mentir]";"él miente"
"Indicativo
Presente

ella [mentir]";"ella miente"
"Indicativo
Presente

Usted [mentir]";"Usted miente"
"Indicativo
Presente

nosotros [mentir]";"nosotros mentimos"
"Indicativo
Presente

nosotras [mentir]";"nosotras mentimos"
"Indicativo
Presente

vosotros [mentir]";"vosotros mentís"
"Indicativo
Presente

vosotras [mentir]";"vosotras mentís"
"Indicativo
Presente

ellos [mentir]";"ellos mienten"
"Indicativo
Presente

ellas [mentir]";"ellas mienten"
"Indicativo
Presente

Ustedes [mentir]";"Ustedes mienten"
"Indicativo
Presente

yo [merecer]";"yo merezco"
"Indicativo
Presente

tú [merecer]";"tú mereces"
"Indicativo
Presente

él [merecer]";"él merece"
"Indicativo
Presente

ella [merecer]";"ella merece"
"Indicativo
Presente

Usted [merecer]";"Usted merece"
"Indicativo
Presente

nosotros [merecer]";"nosotros merecemos"
"Indicativo
Presente

nosotras [merecer]";"nosotras merecemos"
"Indicativo
Presente

vosotros [merecer]";"vosotros merecéis"
"Indicativo
Presente

vosotras [merecer]";"vosotras merecéis"
"Indicativo
Presente

ellos [merecer]";"ellos merecen"
"Indicativo
Presente

ellas [merecer]";"ellas merecen"
"Indicativo
Presente

Ustedes [merecer]";"Ustedes merecen"
"Indicativo
Presente

yo [meter]";"yo meto"
"Indicativo
Presente

tú [meter]";"tú metes"
"Indicativo
Presente

él [meter]";"él mete"
"Indicativo
Presente

ella [meter]";"ella mete"
"Indicativo
Presente

Usted [meter]";"Usted mete"
"Indicativo
Presente

nosotros [meter]";"nosotros metemos"
"Indicativo
Presente

nosotras [meter]";"nosotras metemos"
"Indicativo
Presente

vosotros [meter]";"vosotros metéis"
"Indicativo
Presente

vosotras [meter]";"vosotras metéis"
"Indicativo
Presente

ellos [meter]";"ellos meten"
"Indicativo
Presente

ellas [meter]";"ellas meten"
"Indicativo
Presente

Ustedes [meter]";"Ustedes meten"
"Indicativo
Presente

yo [morir]";"yo muero"
"Indicativo
Presente

tú [morir]";"tú mueres"
"Indicativo
Presente

él [morir]";"él muere"
"Indicativo
Presente

ella [morir]";"ella muere"
"Indicativo
Presente

Usted [morir]";"Usted muere"
"Indicativo
Presente

nosotros [morir]";"nosotros morimos"
"Indicativo
Presente

nosotras [morir]";"nosotras morimos"
"Indicativo
Presente

vosotros [morir]";"vosotros morís"
"Indicativo
Presente

vosotras [morir]";"vosotras morís"
"Indicativo
Presente

ellos [morir]";"ellos mueren"
"Indicativo
Presente

ellas [morir]";"ellas mueren"
"Indicativo
Presente

Ustedes [morir]";"Ustedes mueren"
"Indicativo
Presente

yo [mover]";"yo muevo"
"Indicativo
Presente

tú [mover]";"tú mueves"
"Indicativo
Presente

él [mover]";"él mueve"
"Indicativo
Presente

ella [mover]";"ella mueve"
"Indicativo
Presente

Usted [mover]";"Usted mueve"
"Indicativo
Presente

nosotros [mover]";"nosotros movemos"
"Indicativo
Presente

nosotras [mover]";"nosotras movemos"
"Indicativo
Presente

vosotros [mover]";"vosotros movéis"
"Indicativo
Presente

vosotras [mover]";"vosotras movéis"
"Indicativo
Presente

ellos [mover]";"ellos mueven"
"Indicativo
Presente

ellas [mover]";"ellas mueven"
"Indicativo
Presente

Ustedes [mover]";"Ustedes mueven"
"Indicativo
Presente

yo [nacer]";"yo nazco"
"Indicativo
Presente

tú [nacer]";"tú naces"
"Indicativo
Presente

él [nacer]";"él nace"
"Indicativo
Presente

ella [nacer]";"ella nace"
"Indicativo
Presente

Usted [nacer]";"Usted nace"
"Indicativo
Presente

nosotros [nacer]";"nosotros nacemos"
"Indicativo
Presente

nosotras [nacer]";"nosotras nacemos"
"Indicativo
Presente

vosotros [nacer]";"vosotros nacéis"
"Indicativo
Presente

vosotras [nacer]";"vosotras nacéis"
"Indicativo
Presente

ellos [nacer]";"ellos nacen"
"Indicativo
Presente

ellas [nacer]";"ellas nacen"
"Indicativo
Presente

Ustedes [nacer]";"Ustedes nacen"
"Indicativo
Presente

yo [obedecer]";"yo obedezco"
"Indicativo
Presente

tú [obedecer]";"tú obedeces"
"Indicativo
Presente

él [obedecer]";"él obedece"
"Indicativo
Presente

ella [obedecer]";"ella obedece"
"Indicativo
Presente

Usted [obedecer]";"Usted obedece"
"Indicativo
Presente

nosotros [obedecer]";"nosotros obedecemos"
"Indicativo
Presente

nosotras [obedecer]";"nosotras obedecemos"
"Indicativo
Presente

vosotros [obedecer]";"vosotros obedecéis"
"Indicativo
Presente

vosotras [obedecer]";"vosotras obedecéis"
"Indicativo
Presente

ellos [obedecer]";"ellos obedecen"
"Indicativo
Presente

ellas [obedecer]";"ellas obedecen"
"Indicativo
Presente

Ustedes [obedecer]";"Ustedes obedecen"
"Indicativo
Presente

yo [obtener]";"yo obtengo"
"Indicativo
Presente

tú [obtener]";"tú obtienes"
"Indicativo
Presente

él [obtener]";"él obtiene"
"Indicativo
Presente

ella [obtener]";"ella obtiene"
"Indicativo
Presente

Usted [obtener]";"Usted obtiene"
"Indicativo
Presente

nosotros [obtener]";"nosotros obtenemos"
"Indicativo
Presente

nosotras [obtener]";"nosotras obtenemos"
"Indicativo
Presente

vosotros [obtener]";"vosotros obtenéis"
"Indicativo
Presente

vosotras [obtener]";"vosotras obtenéis"
"Indicativo
Presente

ellos [obtener]";"ellos obtienen"
"Indicativo
Presente

ellas [obtener]";"ellas obtienen"
"Indicativo
Presente

Ustedes [obtener]";"Ustedes obtienen"
"Indicativo
Presente

yo [ocurrir]";"yo "
"Indicativo
Presente

tú [ocurrir]";"tú "
"Indicativo
Presente

él [ocurrir]";"él ocurre"
