#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abrir]";"yo abrí"
"Indicativo
Pretérito

Ustedes [dormir]";"Ustedes durmieron"
"Indicativo
Pretérito

yo [ejercer]";"yo ejercí"
"Indicativo
Pretérito

tú [ejercer]";"tú ejerciste"
"Indicativo
Pretérito

él [ejercer]";"él ejerció"
"Indicativo
Pretérito

ella [ejercer]";"ella ejerció"
"Indicativo
Pretérito

Usted [ejercer]";"Usted ejerció"
"Indicativo
Pretérito

nosotros [ejercer]";"nosotros ejercimos"
"Indicativo
Pretérito

nosotras [ejercer]";"nosotras ejercimos"
"Indicativo
Pretérito

vosotros [ejercer]";"vosotros ejercisteis"
"Indicativo
Pretérito

vosotras [ejercer]";"vosotras ejercisteis"
"Indicativo
Pretérito

ellos [ejercer]";"ellos ejercieron"
"Indicativo
Pretérito

ellas [ejercer]";"ellas ejercieron"
"Indicativo
Pretérito

Ustedes [ejercer]";"Ustedes ejercieron"
"Indicativo
Pretérito

yo [elegir]";"yo elegí"
"Indicativo
Pretérito

tú [elegir]";"tú elegiste"
"Indicativo
Pretérito

él [elegir]";"él eligió"
"Indicativo
Pretérito

ella [elegir]";"ella eligió"
"Indicativo
Pretérito

Usted [elegir]";"Usted eligió"
"Indicativo
Pretérito

nosotros [elegir]";"nosotros elegimos"
"Indicativo
Pretérito

nosotras [elegir]";"nosotras elegimos"
"Indicativo
Pretérito

vosotros [elegir]";"vosotros elegisteis"
"Indicativo
Pretérito

vosotras [elegir]";"vosotras elegisteis"
"Indicativo
Pretérito

ellos [elegir]";"ellos eligieron"
"Indicativo
Pretérito

ellas [elegir]";"ellas eligieron"
"Indicativo
Pretérito

Ustedes [elegir]";"Ustedes eligieron"
"Indicativo
Pretérito

yo [encender]";"yo encendí"
"Indicativo
Pretérito

tú [encender]";"tú encendiste"
"Indicativo
Pretérito

él [encender]";"él encendió"
"Indicativo
Pretérito

ella [encender]";"ella encendió"
"Indicativo
Pretérito

Usted [encender]";"Usted encendió"
"Indicativo
Pretérito

nosotros [encender]";"nosotros encendimos"
"Indicativo
Pretérito

nosotras [encender]";"nosotras encendimos"
"Indicativo
Pretérito

vosotros [encender]";"vosotros encendisteis"
"Indicativo
Pretérito

vosotras [encender]";"vosotras encendisteis"
"Indicativo
Pretérito

ellos [encender]";"ellos encendieron"
"Indicativo
Pretérito

ellas [encender]";"ellas encendieron"
"Indicativo
Pretérito

Ustedes [encender]";"Ustedes encendieron"
"Indicativo
Pretérito

yo [enflaquecer]";"yo enflaquecí"
"Indicativo
Pretérito

tú [enflaquecer]";"tú enflaqueciste"
"Indicativo
Pretérito

él [enflaquecer]";"él enflaqueció"
"Indicativo
Pretérito

ella [enflaquecer]";"ella enflaqueció"
"Indicativo
Pretérito

Usted [enflaquecer]";"Usted enflaqueció"
"Indicativo
Pretérito

nosotros [enflaquecer]";"nosotros enflaquecimos"
"Indicativo
Pretérito

nosotras [enflaquecer]";"nosotras enflaquecimos"
"Indicativo
Pretérito

vosotros [enflaquecer]";"vosotros enflaquecisteis"
"Indicativo
Pretérito

vosotras [enflaquecer]";"vosotras enflaquecisteis"
"Indicativo
Pretérito

ellos [enflaquecer]";"ellos enflaquecieron"
"Indicativo
Pretérito

ellas [enflaquecer]";"ellas enflaquecieron"
"Indicativo
Pretérito

Ustedes [enflaquecer]";"Ustedes enflaquecieron"
"Indicativo
Pretérito

yo [enriquecer]";"yo enriquecí"
"Indicativo
Pretérito

tú [enriquecer]";"tú enriqueciste"
"Indicativo
Pretérito

él [enriquecer]";"él enriqueció"
"Indicativo
Pretérito

ella [enriquecer]";"ella enriqueció"
"Indicativo
Pretérito

Usted [enriquecer]";"Usted enriqueció"
"Indicativo
Pretérito

nosotros [enriquecer]";"nosotros enriquecimos"
"Indicativo
Pretérito

nosotras [enriquecer]";"nosotras enriquecimos"
"Indicativo
Pretérito

vosotros [enriquecer]";"vosotros enriquecisteis"
"Indicativo
Pretérito

vosotras [enriquecer]";"vosotras enriquecisteis"
"Indicativo
Pretérito

ellos [enriquecer]";"ellos enriquecieron"
"Indicativo
Pretérito

ellas [enriquecer]";"ellas enriquecieron"
"Indicativo
Pretérito

Ustedes [enriquecer]";"Ustedes enriquecieron"
"Indicativo
Pretérito

yo [entender]";"yo entendí"
"Indicativo
Pretérito

tú [entender]";"tú entendiste"
"Indicativo
Pretérito

él [entender]";"él entendió"
"Indicativo
Pretérito

ella [entender]";"ella entendió"
"Indicativo
Pretérito

Usted [entender]";"Usted entendió"
"Indicativo
Pretérito

nosotros [entender]";"nosotros entendimos"
"Indicativo
Pretérito

nosotras [entender]";"nosotras entendimos"
"Indicativo
Pretérito

vosotros [entender]";"vosotros entendisteis"
"Indicativo
Pretérito

vosotras [entender]";"vosotras entendisteis"
"Indicativo
Pretérito

ellos [entender]";"ellos entendieron"
"Indicativo
Pretérito

ellas [entender]";"ellas entendieron"
"Indicativo
Pretérito

Ustedes [entender]";"Ustedes entendieron"
"Indicativo
Pretérito

yo [entretener]";"yo entretuve"
"Indicativo
Pretérito

tú [entretener]";"tú entretuviste"
"Indicativo
Pretérito

él [entretener]";"él entretuvo"
"Indicativo
Pretérito

ella [entretener]";"ella entretuvo"
"Indicativo
Pretérito

Usted [entretener]";"Usted entretuvo"
"Indicativo
Pretérito

nosotros [entretener]";"nosotros entretuvimos"
"Indicativo
Pretérito

nosotras [entretener]";"nosotras entretuvimos"
"Indicativo
Pretérito

vosotros [entretener]";"vosotros entretuvisteis"
"Indicativo
Pretérito

vosotras [entretener]";"vosotras entretuvisteis"
"Indicativo
Pretérito

ellos [entretener]";"ellos entretuvieron"
"Indicativo
Pretérito

ellas [entretener]";"ellas entretuvieron"
"Indicativo
Pretérito

Ustedes [entretener]";"Ustedes entretuvieron"
"Indicativo
Pretérito

yo [envejecer]";"yo envejecí"
"Indicativo
Pretérito

tú [envejecer]";"tú envejeciste"
"Indicativo
Pretérito

él [envejecer]";"él envejeció"
"Indicativo
Pretérito

ella [envejecer]";"ella envejeció"
"Indicativo
Pretérito

Usted [envejecer]";"Usted envejeció"
"Indicativo
Pretérito

nosotros [envejecer]";"nosotros envejecimos"
"Indicativo
Pretérito

nosotras [envejecer]";"nosotras envejecimos"
"Indicativo
Pretérito

vosotros [envejecer]";"vosotros envejecisteis"
"Indicativo
Pretérito

vosotras [envejecer]";"vosotras envejecisteis"
"Indicativo
Pretérito

ellos [envejecer]";"ellos envejecieron"
"Indicativo
Pretérito

ellas [envejecer]";"ellas envejecieron"
"Indicativo
Pretérito

Ustedes [envejecer]";"Ustedes envejecieron"
"Indicativo
Pretérito

yo [escoger]";"yo escogí"
"Indicativo
Pretérito

tú [escoger]";"tú escogiste"
"Indicativo
Pretérito

él [escoger]";"él escogió"
"Indicativo
Pretérito

ella [escoger]";"ella escogió"
"Indicativo
Pretérito

Usted [escoger]";"Usted escogió"
"Indicativo
Pretérito

nosotros [escoger]";"nosotros escogimos"
"Indicativo
Pretérito

nosotras [escoger]";"nosotras escogimos"
"Indicativo
Pretérito

vosotros [escoger]";"vosotros escogisteis"
"Indicativo
Pretérito

vosotras [escoger]";"vosotras escogisteis"
"Indicativo
Pretérito

ellos [escoger]";"ellos escogieron"
"Indicativo
Pretérito

ellas [escoger]";"ellas escogieron"
"Indicativo
Pretérito

Ustedes [escoger]";"Ustedes escogieron"
"Indicativo
Pretérito

yo [esconder]";"yo escondí"
"Indicativo
Pretérito

tú [esconder]";"tú escondiste"
"Indicativo
Pretérito

él [esconder]";"él escondió"
"Indicativo
Pretérito

ella [esconder]";"ella escondió"
"Indicativo
Pretérito

Usted [esconder]";"Usted escondió"
"Indicativo
Pretérito

nosotros [esconder]";"nosotros escondimos"
"Indicativo
Pretérito

nosotras [esconder]";"nosotras escondimos"
"Indicativo
Pretérito

vosotros [esconder]";"vosotros escondisteis"
"Indicativo
Pretérito

vosotras [esconder]";"vosotras escondisteis"
"Indicativo
Pretérito

ellos [esconder]";"ellos escondieron"
"Indicativo
Pretérito

ellas [esconder]";"ellas escondieron"
"Indicativo
Pretérito

Ustedes [esconder]";"Ustedes escondieron"
"Indicativo
Pretérito

yo [escribir]";"yo escribí"
"Indicativo
Pretérito

tú [escribir]";"tú escribiste"
"Indicativo
Pretérito

él [escribir]";"él escribió"
"Indicativo
Pretérito

ella [escribir]";"ella escribió"
"Indicativo
Pretérito

Usted [escribir]";"Usted escribió"
"Indicativo
Pretérito

nosotros [escribir]";"nosotros escribimos"
"Indicativo
Pretérito

nosotras [escribir]";"nosotras escribimos"
"Indicativo
Pretérito

vosotros [escribir]";"vosotros escribisteis"
"Indicativo
Pretérito

vosotras [escribir]";"vosotras escribisteis"
"Indicativo
Pretérito

ellos [escribir]";"ellos escribieron"
"Indicativo
Pretérito

ellas [escribir]";"ellas escribieron"
"Indicativo
Pretérito

Ustedes [escribir]";"Ustedes escribieron"
"Indicativo
Pretérito

yo [establecer]";"yo establecí"
"Indicativo
Pretérito

tú [establecer]";"tú estableciste"
"Indicativo
Pretérito

él [establecer]";"él estableció"
"Indicativo
Pretérito

ella [establecer]";"ella estableció"
"Indicativo
Pretérito

Usted [establecer]";"Usted estableció"
"Indicativo
Pretérito

nosotros [establecer]";"nosotros establecimos"
"Indicativo
Pretérito

nosotras [establecer]";"nosotras establecimos"
"Indicativo
Pretérito

vosotros [establecer]";"vosotros establecisteis"
"Indicativo
Pretérito

vosotras [establecer]";"vosotras establecisteis"
"Indicativo
Pretérito

ellos [establecer]";"ellos establecieron"
"Indicativo
Pretérito

ellas [establecer]";"ellas establecieron"
"Indicativo
Pretérito

Ustedes [establecer]";"Ustedes establecieron"
"Indicativo
Pretérito

yo [exhibir]";"yo exhibí"
"Indicativo
Pretérito

tú [exhibir]";"tú exhibiste"
"Indicativo
Pretérito

él [exhibir]";"él exhibió"
"Indicativo
Pretérito

ella [exhibir]";"ella exhibió"
"Indicativo
Pretérito

Usted [exhibir]";"Usted exhibió"
"Indicativo
Pretérito

nosotros [exhibir]";"nosotros exhibimos"
"Indicativo
Pretérito

nosotras [exhibir]";"nosotras exhibimos"
"Indicativo
Pretérito

vosotros [exhibir]";"vosotros exhibisteis"
"Indicativo
Pretérito

vosotras [exhibir]";"vosotras exhibisteis"
"Indicativo
Pretérito

ellos [exhibir]";"ellos exhibieron"
"Indicativo
Pretérito

ellas [exhibir]";"ellas exhibieron"
"Indicativo
Pretérito

Ustedes [exhibir]";"Ustedes exhibieron"
"Indicativo
Pretérito

yo [exigir]";"yo exigí"
"Indicativo
Pretérito

tú [exigir]";"tú exigiste"
"Indicativo
Pretérito

él [exigir]";"él exigió"
"Indicativo
Pretérito

ella [exigir]";"ella exigió"
"Indicativo
Pretérito

Usted [exigir]";"Usted exigió"
"Indicativo
Pretérito

nosotros [exigir]";"nosotros exigimos"
"Indicativo
Pretérito

nosotras [exigir]";"nosotras exigimos"
"Indicativo
Pretérito

vosotros [exigir]";"vosotros exigisteis"
"Indicativo
Pretérito

vosotras [exigir]";"vosotras exigisteis"
"Indicativo
Pretérito

ellos [exigir]";"ellos exigieron"
"Indicativo
Pretérito

ellas [exigir]";"ellas exigieron"
"Indicativo
Pretérito

Ustedes [exigir]";"Ustedes exigieron"
"Indicativo
Pretérito

yo [exponer]";"yo expuse"
"Indicativo
Pretérito

tú [exponer]";"tú expusiste"
"Indicativo
Pretérito

él [exponer]";"él expuso"
"Indicativo
Pretérito

ella [exponer]";"ella expuso"
"Indicativo
Pretérito

Usted [exponer]";"Usted expuso"
"Indicativo
Pretérito

nosotros [exponer]";"nosotros expusimos"
"Indicativo
Pretérito

nosotras [exponer]";"nosotras expusimos"
"Indicativo
Pretérito

vosotros [exponer]";"vosotros expusisteis"
"Indicativo
Pretérito

vosotras [exponer]";"vosotras expusisteis"
"Indicativo
Pretérito

ellos [exponer]";"ellos expusieron"
"Indicativo
Pretérito

ellas [exponer]";"ellas expusieron"
"Indicativo
Pretérito

Ustedes [exponer]";"Ustedes expusieron"
"Indicativo
Pretérito

yo [extender]";"yo extendí"
"Indicativo
Pretérito

tú [extender]";"tú extendiste"
"Indicativo
Pretérito

él [extender]";"él extendió"
"Indicativo
Pretérito

ella [extender]";"ella extendió"
"Indicativo
Pretérito

Usted [extender]";"Usted extendió"
"Indicativo
Pretérito

nosotros [extender]";"nosotros extendimos"
"Indicativo
Pretérito

nosotras [extender]";"nosotras extendimos"
"Indicativo
Pretérito

vosotros [extender]";"vosotros extendisteis"
"Indicativo
Pretérito

vosotras [extender]";"vosotras extendisteis"
"Indicativo
Pretérito

ellos [extender]";"ellos extendieron"
"Indicativo
Pretérito

ellas [extender]";"ellas extendieron"
"Indicativo
Pretérito

Ustedes [extender]";"Ustedes extendieron"
"Indicativo
Pretérito

yo [extinguir]";"yo extinguí"
"Indicativo
Pretérito

tú [extinguir]";"tú extinguiste"
"Indicativo
Pretérito

él [extinguir]";"él extinguió"
"Indicativo
Pretérito

ella [extinguir]";"ella extinguió"
"Indicativo
Pretérito

Usted [extinguir]";"Usted extinguió"
"Indicativo
Pretérito

nosotros [extinguir]";"nosotros extinguimos"
"Indicativo
Pretérito

nosotras [extinguir]";"nosotras extinguimos"
"Indicativo
Pretérito

vosotros [extinguir]";"vosotros extinguisteis"
"Indicativo
Pretérito

vosotras [extinguir]";"vosotras extinguisteis"
"Indicativo
Pretérito

ellos [extinguir]";"ellos extinguieron"
"Indicativo
Pretérito

ellas [extinguir]";"ellas extinguieron"
"Indicativo
Pretérito

Ustedes [extinguir]";"Ustedes extinguieron"
"Indicativo
Pretérito

yo [fingir]";"yo fingí"
"Indicativo
Pretérito

tú [fingir]";"tú fingiste"
"Indicativo
Pretérito

él [fingir]";"él fingió"
"Indicativo
Pretérito

ella [fingir]";"ella fingió"
"Indicativo
Pretérito

Usted [fingir]";"Usted fingió"
"Indicativo
Pretérito

nosotros [fingir]";"nosotros fingimos"
"Indicativo
Pretérito

nosotras [fingir]";"nosotras fingimos"
"Indicativo
Pretérito

vosotros [fingir]";"vosotros fingisteis"
"Indicativo
Pretérito

vosotras [fingir]";"vosotras fingisteis"
"Indicativo
Pretérito

ellos [fingir]";"ellos fingieron"
"Indicativo
Pretérito

ellas [fingir]";"ellas fingieron"
"Indicativo
Pretérito

Ustedes [fingir]";"Ustedes fingieron"
"Indicativo
Pretérito

yo [florecer]";"yo florecí"
"Indicativo
Pretérito

tú [florecer]";"tú floreciste"
"Indicativo
Pretérito

él [florecer]";"él floreció"
"Indicativo
Pretérito

ella [florecer]";"ella floreció"
"Indicativo
Pretérito

Usted [florecer]";"Usted floreció"
"Indicativo
Pretérito

nosotros [florecer]";"nosotros florecimos"
"Indicativo
Pretérito

nosotras [florecer]";"nosotras florecimos"
"Indicativo
Pretérito

vosotros [florecer]";"vosotros florecisteis"
"Indicativo
Pretérito

vosotras [florecer]";"vosotras florecisteis"
"Indicativo
Pretérito

ellos [florecer]";"ellos florecieron"
"Indicativo
Pretérito

ellas [florecer]";"ellas florecieron"
"Indicativo
Pretérito

Ustedes [florecer]";"Ustedes florecieron"
"Indicativo
Pretérito

yo [fortalecer]";"yo fortalecí"
"Indicativo
Pretérito

tú [fortalecer]";"tú fortaleciste"
"Indicativo
Pretérito

él [fortalecer]";"él fortaleció"
"Indicativo
Pretérito

ella [fortalecer]";"ella fortaleció"
"Indicativo
Pretérito

Usted [fortalecer]";"Usted fortaleció"
"Indicativo
Pretérito

nosotros [fortalecer]";"nosotros fortalecimos"
"Indicativo
Pretérito

nosotras [fortalecer]";"nosotras fortalecimos"
"Indicativo
Pretérito

vosotros [fortalecer]";"vosotros fortalecisteis"
"Indicativo
Pretérito

vosotras [fortalecer]";"vosotras fortalecisteis"
"Indicativo
Pretérito

ellos [fortalecer]";"ellos fortalecieron"
"Indicativo
Pretérito

ellas [fortalecer]";"ellas fortalecieron"
"Indicativo
Pretérito

Ustedes [fortalecer]";"Ustedes fortalecieron"
"Indicativo
Pretérito

yo [gruñir]";"yo gruñí"
"Indicativo
Pretérito

tú [gruñir]";"tú gruñiste"
"Indicativo
Pretérito

él [gruñir]";"él gruñó"
"Indicativo
Pretérito

ella [gruñir]";"ella gruñó"
"Indicativo
Pretérito

Usted [gruñir]";"Usted gruñó"
"Indicativo
Pretérito

nosotros [gruñir]";"nosotros gruñimos"
"Indicativo
Pretérito

nosotras [gruñir]";"nosotras gruñimos"
"Indicativo
Pretérito

vosotros [gruñir]";"vosotros gruñisteis"
"Indicativo
Pretérito

vosotras [gruñir]";"vosotras gruñisteis"
"Indicativo
Pretérito

ellos [gruñir]";"ellos gruñeron"
"Indicativo
Pretérito

ellas [gruñir]";"ellas gruñeron"
"Indicativo
Pretérito

Ustedes [gruñir]";"Ustedes gruñeron"
"Indicativo
Pretérito

yo [hacer]";"yo hice"
"Indicativo
Pretérito

tú [hacer]";"tú hiciste"
"Indicativo
Pretérito

él [hacer]";"él hizo"
"Indicativo
Pretérito

ella [hacer]";"ella hizo"
"Indicativo
Pretérito

Usted [hacer]";"Usted hizo"
"Indicativo
Pretérito

nosotros [hacer]";"nosotros hicimos"
"Indicativo
Pretérito

nosotras [hacer]";"nosotras hicimos"
"Indicativo
Pretérito

vosotros [hacer]";"vosotros hicisteis"
"Indicativo
Pretérito

vosotras [hacer]";"vosotras hicisteis"
"Indicativo
Pretérito

ellos [hacer]";"ellos hicieron"
"Indicativo
Pretérito

ellas [hacer]";"ellas hicieron"
"Indicativo
Pretérito

Ustedes [hacer]";"Ustedes hicieron"
"Indicativo
Pretérito

yo [herir]";"yo herí"
"Indicativo
Pretérito

tú [herir]";"tú heriste"
"Indicativo
Pretérito

él [herir]";"él hirió"
"Indicativo
Pretérito

ella [herir]";"ella hirió"
"Indicativo
Pretérito

Usted [herir]";"Usted hirió"
"Indicativo
Pretérito

nosotros [herir]";"nosotros herimos"
"Indicativo
Pretérito

nosotras [herir]";"nosotras herimos"
"Indicativo
Pretérito

vosotros [herir]";"vosotros heristeis"
"Indicativo
Pretérito

vosotras [herir]";"vosotras heristeis"
"Indicativo
Pretérito

ellos [herir]";"ellos hirieron"
"Indicativo
Pretérito

ellas [herir]";"ellas hirieron"
"Indicativo
Pretérito

Ustedes [herir]";"Ustedes hirieron"
"Indicativo
Pretérito

yo [hervir]";"yo herví"
"Indicativo
Pretérito

tú [hervir]";"tú herviste"
"Indicativo
Pretérito

él [hervir]";"él hirvió"
"Indicativo
Pretérito

ella [hervir]";"ella hirvió"
"Indicativo
Pretérito

Usted [hervir]";"Usted hirvió"
"Indicativo
Pretérito

nosotros [hervir]";"nosotros hervimos"
"Indicativo
Pretérito

nosotras [hervir]";"nosotras hervimos"
"Indicativo
Pretérito

vosotros [hervir]";"vosotros hervisteis"
"Indicativo
Pretérito

vosotras [hervir]";"vosotras hervisteis"
"Indicativo
Pretérito

ellos [hervir]";"ellos hirvieron"
"Indicativo
Pretérito

ellas [hervir]";"ellas hirvieron"
"Indicativo
Pretérito

Ustedes [hervir]";"Ustedes hirvieron"
"Indicativo
Pretérito

yo [huir]";"yo huí"
"Indicativo
Pretérito

tú [huir]";"tú huiste"
"Indicativo
Pretérito

él [huir]";"él huyó"
"Indicativo
Pretérito

ella [huir]";"ella huyó"
"Indicativo
Pretérito

Usted [huir]";"Usted huyó"
"Indicativo
Pretérito

nosotros [huir]";"nosotros huimos"
"Indicativo
Pretérito

nosotras [huir]";"nosotras huimos"
"Indicativo
Pretérito

vosotros [huir]";"vosotros huisteis"
"Indicativo
Pretérito

vosotras [huir]";"vosotras huisteis"
"Indicativo
Pretérito

ellos [huir]";"ellos huyeron"
"Indicativo
Pretérito

ellas [huir]";"ellas huyeron"
"Indicativo
Pretérito

Ustedes [huir]";"Ustedes huyeron"
"Indicativo
Pretérito

yo [imprimir]";"yo imprimí"
"Indicativo
Pretérito

tú [imprimir]";"tú imprimiste"
"Indicativo
Pretérito

él [imprimir]";"él imprimió"
"Indicativo
Pretérito

ella [imprimir]";"ella imprimió"
"Indicativo
Pretérito

Usted [imprimir]";"Usted imprimió"
"Indicativo
Pretérito

nosotros [imprimir]";"nosotros imprimimos"
"Indicativo
Pretérito

nosotras [imprimir]";"nosotras imprimimos"
"Indicativo
Pretérito

vosotros [imprimir]";"vosotros imprimisteis"
"Indicativo
Pretérito

vosotras [imprimir]";"vosotras imprimisteis"
"Indicativo
Pretérito

ellos [imprimir]";"ellos imprimieron"
"Indicativo
Pretérito

ellas [imprimir]";"ellas imprimieron"
"Indicativo
Pretérito

Ustedes [imprimir]";"Ustedes imprimieron"
"Indicativo
Pretérito

yo [incluir]";"yo incluí"
"Indicativo
Pretérito

tú [incluir]";"tú incluiste"
"Indicativo
Pretérito

él [incluir]";"él incluyó"
"Indicativo
Pretérito

ella [incluir]";"ella incluyó"
"Indicativo
Pretérito

Usted [incluir]";"Usted incluyó"
"Indicativo
Pretérito

nosotros [incluir]";"nosotros incluimos"
"Indicativo
Pretérito

nosotras [incluir]";"nosotras incluimos"
"Indicativo
Pretérito

vosotros [incluir]";"vosotros incluisteis"
"Indicativo
Pretérito

vosotras [incluir]";"vosotras incluisteis"
"Indicativo
Pretérito

ellos [incluir]";"ellos incluyeron"
"Indicativo
Pretérito

ellas [incluir]";"ellas incluyeron"
"Indicativo
Pretérito

Ustedes [incluir]";"Ustedes incluyeron"
"Indicativo
Pretérito

yo [inducir]";"yo induje"
"Indicativo
Pretérito

tú [inducir]";"tú indujiste"
"Indicativo
Pretérito

él [inducir]";"él indujo"
"Indicativo
Pretérito

ella [inducir]";"ella indujo"
"Indicativo
Pretérito

Usted [inducir]";"Usted indujo"
"Indicativo
Pretérito

nosotros [inducir]";"nosotros indujimos"
"Indicativo
Pretérito

nosotras [inducir]";"nosotras indujimos"
"Indicativo
Pretérito

vosotros [inducir]";"vosotros indujisteis"
"Indicativo
Pretérito

vosotras [inducir]";"vosotras indujisteis"
"Indicativo
Pretérito

ellos [inducir]";"ellos indujeron"
"Indicativo
Pretérito

ellas [inducir]";"ellas indujeron"
"Indicativo
Pretérito

Ustedes [inducir]";"Ustedes indujeron"
"Indicativo
Pretérito

yo [influir]";"yo influí"
"Indicativo
Pretérito

tú [influir]";"tú influiste"
"Indicativo
Pretérito

él [influir]";"él influyó"
"Indicativo
Pretérito

ella [influir]";"ella influyó"
"Indicativo
Pretérito

Usted [influir]";"Usted influyó"
"Indicativo
Pretérito

nosotros [influir]";"nosotros influimos"
"Indicativo
Pretérito

nosotras [influir]";"nosotras influimos"
"Indicativo
Pretérito

vosotros [influir]";"vosotros influisteis"
"Indicativo
Pretérito

vosotras [influir]";"vosotras influisteis"
"Indicativo
Pretérito

ellos [influir]";"ellos influyeron"
"Indicativo
Pretérito

ellas [influir]";"ellas influyeron"
"Indicativo
Pretérito

Ustedes [influir]";"Ustedes influyeron"
"Indicativo
Pretérito

yo [insistir]";"yo insistí"
"Indicativo
Pretérito

tú [insistir]";"tú insististe"
"Indicativo
Pretérito

él [insistir]";"él insistió"
"Indicativo
Pretérito

ella [insistir]";"ella insistió"
"Indicativo
Pretérito

Usted [insistir]";"Usted insistió"
"Indicativo
Pretérito

nosotros [insistir]";"nosotros insistimos"
"Indicativo
Pretérito

nosotras [insistir]";"nosotras insistimos"
"Indicativo
Pretérito

vosotros [insistir]";"vosotros insististeis"
"Indicativo
Pretérito

vosotras [insistir]";"vosotras insististeis"
"Indicativo
Pretérito

ellos [insistir]";"ellos insistieron"
"Indicativo
Pretérito

ellas [insistir]";"ellas insistieron"
"Indicativo
Pretérito

Ustedes [insistir]";"Ustedes insistieron"
"Indicativo
Pretérito

yo [introducir]";"yo introduje"
"Indicativo
Pretérito

tú [introducir]";"tú introdujiste"
"Indicativo
Pretérito

él [introducir]";"él introdujo"
"Indicativo
Pretérito

ella [introducir]";"ella introdujo"
"Indicativo
Pretérito

Usted [introducir]";"Usted introdujo"
"Indicativo
Pretérito

nosotros [introducir]";"nosotros introdujimos"
"Indicativo
Pretérito

nosotras [introducir]";"nosotras introdujimos"
"Indicativo
Pretérito

vosotros [introducir]";"vosotros introdujisteis"
"Indicativo
Pretérito

vosotras [introducir]";"vosotras introdujisteis"
"Indicativo
Pretérito

ellos [introducir]";"ellos introdujeron"
"Indicativo
Pretérito

ellas [introducir]";"ellas introdujeron"
"Indicativo
Pretérito

Ustedes [introducir]";"Ustedes introdujeron"
"Indicativo
Pretérito

yo [invadir]";"yo invadí"
"Indicativo
Pretérito

tú [invadir]";"tú invadiste"
"Indicativo
Pretérito

él [invadir]";"él invadió"
"Indicativo
Pretérito

ella [invadir]";"ella invadió"
"Indicativo
Pretérito

Usted [invadir]";"Usted invadió"
"Indicativo
Pretérito

nosotros [invadir]";"nosotros invadimos"
"Indicativo
Pretérito

nosotras [invadir]";"nosotras invadimos"
"Indicativo
Pretérito

vosotros [invadir]";"vosotros invadisteis"
"Indicativo
Pretérito

vosotras [invadir]";"vosotras invadisteis"
"Indicativo
Pretérito

ellos [invadir]";"ellos invadieron"
"Indicativo
Pretérito

ellas [invadir]";"ellas invadieron"
"Indicativo
Pretérito

Ustedes [invadir]";"Ustedes invadieron"
"Indicativo
Pretérito

yo [invertir]";"yo invertí"
"Indicativo
Pretérito

tú [invertir]";"tú invertiste"
"Indicativo
Pretérito

él [invertir]";"él invirtió"
"Indicativo
Pretérito

ella [invertir]";"ella invirtió"
"Indicativo
Pretérito

Usted [invertir]";"Usted invirtió"
"Indicativo
Pretérito

nosotros [invertir]";"nosotros invertimos"
"Indicativo
Pretérito

nosotras [invertir]";"nosotras invertimos"
"Indicativo
Pretérito

vosotros [invertir]";"vosotros invertisteis"
"Indicativo
Pretérito

vosotras [invertir]";"vosotras invertisteis"
"Indicativo
Pretérito

ellos [invertir]";"ellos invirtieron"
"Indicativo
Pretérito

ellas [invertir]";"ellas invirtieron"
"Indicativo
Pretérito

Ustedes [invertir]";"Ustedes invirtieron"
"Indicativo
Pretérito

yo [ir]";"yo fui"
"Indicativo
Pretérito

tú [ir]";"tú fuiste"
"Indicativo
Pretérito

él [ir]";"él fue"
"Indicativo
Pretérito

ella [ir]";"ella fue"
"Indicativo
Pretérito

Usted [ir]";"Usted fue"
"Indicativo
Pretérito

nosotros [ir]";"nosotros fuimos"
"Indicativo
Pretérito

nosotras [ir]";"nosotras fuimos"
"Indicativo
Pretérito

vosotros [ir]";"vosotros fuisteis"
"Indicativo
Pretérito

vosotras [ir]";"vosotras fuisteis"
"Indicativo
Pretérito

ellos [ir]";"ellos fueron"
"Indicativo
Pretérito

ellas [ir]";"ellas fueron"
"Indicativo
Pretérito

Ustedes [ir]";"Ustedes fueron"
"Indicativo
Pretérito

yo [leer]";"yo leí"
"Indicativo
Pretérito

tú [leer]";"tú leíste"
"Indicativo
Pretérito

él [leer]";"él leyó"
"Indicativo
Pretérito

ella [leer]";"ella leyó"
"Indicativo
Pretérito

Usted [leer]";"Usted leyó"
"Indicativo
Pretérito

nosotros [leer]";"nosotros leímos"
"Indicativo
Pretérito

nosotras [leer]";"nosotras leímos"
"Indicativo
Pretérito

vosotros [leer]";"vosotros leísteis"
"Indicativo
Pretérito

vosotras [leer]";"vosotras leísteis"
"Indicativo
Pretérito

ellos [leer]";"ellos leyeron"
"Indicativo
Pretérito

ellas [leer]";"ellas leyeron"
"Indicativo
Pretérito

Ustedes [leer]";"Ustedes leyeron"
"Indicativo
Pretérito

yo [llover]";"yo "
"Indicativo
Pretérito

tú [llover]";"tú "
"Indicativo
Pretérito

él [llover]";"él llovió"
"Indicativo
Pretérito

ella [llover]";"ella llovió"
"Indicativo
Pretérito

Usted [llover]";"Usted llovió"
"Indicativo
Pretérito

nosotros [llover]";"nosotros "
"Indicativo
Pretérito

nosotras [llover]";"nosotras "
"Indicativo
Pretérito

vosotros [llover]";"vosotros "
"Indicativo
Pretérito

vosotras [llover]";"vosotras "
